Few-Shot Learning with Simplex,"['https://www.semanticscholar.org/author/Xifan-Zhang/5033465', 'https://www.semanticscholar.org/author/Deli-Zhao/1678783', 'https://www.semanticscholar.org/author/Fan-Cheng/47901000', 'https://www.semanticscholar.org/author/Bowen-Zhang/46824111']","[{'Publications': '5', 'h-index': '2', 'Citations': '42', 'Highly Influential Citations': '1'}, {'Publications': '40', 'h-index': '16', 'Citations': '1,338', 'Highly Influential Citations': '183'}, {'Publications': '121', 'h-index': '15', 'Citations': '733', 'Highly Influential Citations': '26'}, {'Publications': '80', 'h-index': '14', 'Citations': '544', 'Highly Influential Citations': '26'}]"
Tracking Loss: Converting Object Detector to Robust Visual Tracker,"['https://www.semanticscholar.org/author/Stephen-Shaoyi-Liao/2168770', 'https://www.semanticscholar.org/author/Zhenbin-Yan/49356834', 'https://www.semanticscholar.org/author/Kai-Yang/48782904', 'https://www.semanticscholar.org/author/Jimmy-S.-J.-Ren/145335572']","[{'Publications': '119', 'h-index': '21', 'Citations': '1,772', 'Highly Influential Citations': '94'}, {'Publications': '9', 'h-index': '2', 'Citations': '13', 'Highly Influential Citations': '2'}, {'Publications': '25', 'h-index': '6', 'Citations': '118', 'Highly Influential Citations': '1'}, {'Publications': '51', 'h-index': '20', 'Citations': '1,706', 'Highly Influential Citations': '163'}]"
Large Margin Neural Language Models,"['https://www.semanticscholar.org/author/Liang-Huang/48545084', 'https://www.semanticscholar.org/author/Jiaji-Huang/34060310', 'https://www.semanticscholar.org/author/Yi-Li/47002970', 'https://www.semanticscholar.org/author/Wei-Ping/34337724']","[{'Publications': '34', 'h-index': '4', 'Citations': '35', 'Highly Influential Citations': '4'}, {'Publications': '24', 'h-index': '7', 'Citations': '255', 'Highly Influential Citations': '21'}, {'Publications': '182', 'h-index': '20', 'Citations': '1,459', 'Highly Influential Citations': '81'}, {'Publications': '209', 'h-index': '14', 'Citations': '1,075', 'Highly Influential Citations': '112'}]"
Clustering with Deep Learning: Taxonomy and New Methods,"['https://www.semanticscholar.org/author/Vladimir-Golkov/2943639', 'https://www.semanticscholar.org/author/Daniel-Cremers/1695302', 'https://www.semanticscholar.org/author/Elie-Aljalbout/35402354', 'https://www.semanticscholar.org/author/Yawar-Siddiqui/35445401']","[{'Publications': '35', 'h-index': '9', 'Citations': '2,013', 'Highly Influential Citations': '304'}, {'Publications': '495', 'h-index': '80', 'Citations': '27,376', 'Highly Influential Citations': '2,776'}, {'Publications': '4', 'h-index': '3', 'Citations': '112', 'Highly Influential Citations': '9'}, {'Publications': '3', 'h-index': '1', 'Citations': '75', 'Highly Influential Citations': '3'}]"
Improving Conditional Sequence Generative Adversarial Networks by Stepwise Evaluation,"['https://www.semanticscholar.org/author/Yi-Lin-Tuan/41017887', 'https://www.semanticscholar.org/author/Hung-yi-Lee/1706104']","[{'Publications': '6', 'h-index': '3', 'Citations': '26', 'Highly Influential Citations': '6'}, {'Publications': '136', 'h-index': '19', 'Citations': '1,199', 'Highly Influential Citations': '85'}]"
Convolutional Mesh Autoencoders for 3D Face Representation,"['https://www.semanticscholar.org/author/Timo-Bolkart/1780750', 'https://www.semanticscholar.org/author/Michael-J.-Black/2105795', 'https://www.semanticscholar.org/author/Anurag-Ranjan/1952002']","[{'Publications': '26', 'h-index': '13', 'Citations': '574', 'Highly Influential Citations': '75'}, {'Publications': '340', 'h-index': '90', 'Citations': '34,161', 'Highly Influential Citations': '3,592'}, {'Publications': '20', 'h-index': '9', 'Citations': '686', 'Highly Influential Citations': '108'}]"
DENSELY CONNECTED RECURRENT NEURAL NETWORK FOR SEQUENCE-TO-SEQUENCE LEARNING,"['https://www.semanticscholar.org/author/Zhiyang-Teng/2272668', 'https://www.semanticscholar.org/author/Wei-Lu/143844110', 'https://www.semanticscholar.org/author/Zhijiang-Guo/2681038', 'https://www.semanticscholar.org/author/Yan-Zhang/46866815']","[{'Publications': '15', 'h-index': '9', 'Citations': '236', 'Highly Influential Citations': '29'}, {'Publications': '67', 'h-index': '20', 'Citations': '2,075', 'Highly Influential Citations': '270'}, {'Publications': '5', 'h-index': '3', 'Citations': '75', 'Highly Influential Citations': '14'}, {'Publications': '14', 'h-index': '3', 'Citations': '51', 'Highly Influential Citations': '7'}]"
Assessing the scalability of biologically-motivated deep learning algorithms and architectures,"['https://www.semanticscholar.org/author/Timothy-P.-Lillicrap/2542999', 'https://www.semanticscholar.org/author/Geoffrey-E.-Hinton/1695689', 'https://www.semanticscholar.org/author/Blake-A.-Richards/38498866', 'https://www.semanticscholar.org/author/Adam-Santoro/35030998', 'https://www.semanticscholar.org/author/Sergey-Bartunov/2258504']","[{'Publications': '74', 'h-index': '39', 'Citations': '24,736', 'Highly Influential Citations': '3,026'}, {'Publications': '415', 'h-index': '131', 'Citations': '228,864', 'Highly Influential Citations': '21,932'}, {'Publications': '56', 'h-index': '18', 'Citations': '1,856', 'Highly Influential Citations': '110'}, {'Publications': '35', 'h-index': '21', 'Citations': '3,180', 'Highly Influential Citations': '366'}, {'Publications': '13', 'h-index': '8', 'Citations': '1,182', 'Highly Influential Citations': '131'}]"
A Neural-Symbolic Approach to Natural Language Tasks,"['https://www.semanticscholar.org/author/Paul-Smolensky/1748557', 'https://www.semanticscholar.org/author/Xiaodong-He/144137069', 'https://www.semanticscholar.org/author/Li-Deng/144718788', 'https://www.semanticscholar.org/author/Qiuyuan-Huang/1788124', 'https://www.semanticscholar.org/author/Dapeng-Wu/144953174']","[{'Publications': '206', 'h-index': '42', 'Citations': '11,153', 'Highly Influential Citations': '963'}, {'Publications': '167', 'h-index': '45', 'Citations': '15,012', 'Highly Influential Citations': '2,092'}, {'Publications': '409', 'h-index': '66', 'Citations': '23,194', 'Highly Influential Citations': '1,865'}, {'Publications': '52', 'h-index': '14', 'Citations': '981', 'Highly Influential Citations': '133'}, {'Publications': '128', 'h-index': '24', 'Citations': '2,102', 'Highly Influential Citations': '122'}]"
Softmax Supervision with Isotropic Normalization,"['https://www.semanticscholar.org/author/Bo-Zhang/144639789', 'https://www.semanticscholar.org/author/Deli-Zhao/1678783', 'https://www.semanticscholar.org/author/Yue-Zhao/47827548', 'https://www.semanticscholar.org/author/Shaohua-Wan/49725227']","[{'Publications': '780', 'h-index': '32', 'Citations': '5,458', 'Highly Influential Citations': '213'}, {'Publications': '40', 'h-index': '16', 'Citations': '1,338', 'Highly Influential Citations': '183'}, {'Publications': '305', 'h-index': '27', 'Citations': '2,853', 'Highly Influential Citations': '50'}, {'Publications': '11', 'h-index': '5', 'Citations': '75', 'Highly Influential Citations': '4'}]"
