Exponentially Decaying Flows for Optimization in Deep Learning,"['https://www.semanticscholar.org/author/Kenta-Nakamura/2057298', 'https://www.semanticscholar.org/author/Mitsuharu-Takeori/2286398']","[{'Publications': '83', 'h-index': '17', 'Citations': '833', 'Highly Influential Citations': '45'}, {'Publications': '3', 'h-index': '1', 'Citations': '9', 'Highly Influential Citations': '0'}]"
In search of theoretically grounded pruning,"['https://www.semanticscholar.org/author/Filip-Svoboda/32423477', 'https://www.semanticscholar.org/author/Nicholas-D.-Lane/144948031', 'https://www.semanticscholar.org/author/Edgar-Liberis/25674299']","[{'Publications': '13', 'h-index': '1', 'Citations': '5', 'Highly Influential Citations': '0'}, {'Publications': '171', 'h-index': '46', 'Citations': '11,518', 'Highly Influential Citations': '683'}, {'Publications': '8', 'h-index': '3', 'Citations': '38', 'Highly Influential Citations': '2'}]"
Structured Content Preservation for Unsupervised Text Style Transfer,"['https://www.semanticscholar.org/author/Youzhi-Tian/80281511', 'https://www.semanticscholar.org/author/Zhiting-Hu/2749311', 'https://www.semanticscholar.org/author/Zhou-Yu/144007938']","[{'Publications': '2', 'h-index': '2', 'Citations': '22', 'Highly Influential Citations': '5'}, {'Publications': '64', 'h-index': '29', 'Citations': '3,398', 'Highly Influential Citations': '371'}, {'Publications': '501', 'h-index': '22', 'Citations': '2,473', 'Highly Influential Citations': '195'}]"
Advanced Neuroevolution: A gradient-free algorithm to train Deep Neural Networks,"['https://www.semanticscholar.org/author/Ahmed-Aly/145501912', 'https://www.semanticscholar.org/author/David-Weikersdorfer/1711006', 'https://www.semanticscholar.org/author/Claire-Delaunay/66447342']","[{'Publications': '29', 'h-index': '3', 'Citations': '32', 'Highly Influential Citations': '2'}, {'Publications': '15', 'h-index': '9', 'Citations': '382', 'Highly Influential Citations': '29'}, {'Publications': '7', 'h-index': '0', 'Citations': '0', 'Highly Influential Citations': '0'}]"
Bridging HMMs and RNNs through Architectural Transformations,"['https://www.semanticscholar.org/author/Yonatan-Bisk/3312309', 'https://www.semanticscholar.org/author/Yejin-Choi/1699545', 'https://www.semanticscholar.org/author/Jan-Buys/144685020']","[{'Publications': '43', 'h-index': '17', 'Citations': '1,175', 'Highly Influential Citations': '160'}, {'Publications': '139', 'h-index': '44', 'Citations': '8,744', 'Highly Influential Citations': '1,040'}, {'Publications': '19', 'h-index': '8', 'Citations': '407', 'Highly Influential Citations': '60'}]"
Learning with Little Data: Evaluation of Deep Learning Algorithms,"['https://www.semanticscholar.org/author/Stefan-Riedelbauch/3391026', 'https://www.semanticscholar.org/author/Andreas-Look/41178340']","[{'Publications': '46', 'h-index': '6', 'Citations': '84', 'Highly Influential Citations': '2'}, {'Publications': '7', 'h-index': '1', 'Citations': '3', 'Highly Influential Citations': '0'}]"
Hierarchical Deep Reinforcement Learning Agent with Counter Self-play  on Competitive Games ,"['https://www.semanticscholar.org/author/Trevor-Darrell/1753210', 'https://www.semanticscholar.org/author/Keiran-Paster/73775191', 'https://www.semanticscholar.org/author/Sergey-Levine/1736651', 'https://www.semanticscholar.org/author/Qibin-Chen/50282546', 'https://www.semanticscholar.org/author/Pieter-Abbeel/1689992', 'https://www.semanticscholar.org/author/Haoran-Tang/4990833', 'https://www.semanticscholar.org/author/Huazhe-Xu/3286703']","[{'Publications': '561', 'h-index': '114', 'Citations': '95,486', 'Highly Influential Citations': '11,728'}, {'Publications': '1', 'h-index': '1', 'Citations': '1', 'Highly Influential Citations': '0'}, {'Publications': '310', 'h-index': '74', 'Citations': '25,630', 'Highly Influential Citations': '3,323'}, {'Publications': '5', 'h-index': '3', 'Citations': '57', 'Highly Influential Citations': '14'}, {'Publications': '441', 'h-index': '98', 'Citations': '38,980', 'Highly Influential Citations': '4,590'}, {'Publications': '17', 'h-index': '3', 'Citations': '652', 'Highly Influential Citations': '95'}, {'Publications': '14', 'h-index': '7', 'Citations': '822', 'Highly Influential Citations': '102'}]"
Label Smoothing and Logit Squeezing: A Replacement for Adversarial Training?,"['https://www.semanticscholar.org/author/Furong-Huang/40070055', 'https://www.semanticscholar.org/author/Amin-Ghiasi/115752784', 'https://www.semanticscholar.org/author/Ali-Shafahi/3246287', 'https://www.semanticscholar.org/author/Tom-Goldstein/1962083']","[{'Publications': '130', 'h-index': '21', 'Citations': '1,879', 'Highly Influential Citations': '192'}, {'Publications': '6', 'h-index': '4', 'Citations': '120', 'Highly Influential Citations': '16'}, {'Publications': '32', 'h-index': '9', 'Citations': '470', 'Highly Influential Citations': '49'}, {'Publications': '98', 'h-index': '29', 'Citations': '6,632', 'Highly Influential Citations': '741'}]"
Rotation Equivariant Networks via Conic Convolution and the DFT,"['https://www.semanticscholar.org/author/M.-N.-Do/144075307', 'https://www.semanticscholar.org/author/Jian-Ma/145608501', 'https://www.semanticscholar.org/author/Benjamin-Chidester/2252364']","[{'Publications': '29', 'h-index': '6', 'Citations': '246', 'Highly Influential Citations': '7'}, {'Publications': '34', 'h-index': '9', 'Citations': '384', 'Highly Influential Citations': '4'}, {'Publications': '13', 'h-index': '3', 'Citations': '40', 'Highly Influential Citations': '4'}]"
GradMix: Multi-source Transfer across Domains and Tasks,"['https://www.semanticscholar.org/author/Ziwei-Xu/2649420', 'https://www.semanticscholar.org/author/Junnan-Li/47786521', 'https://www.semanticscholar.org/author/Mohan-S.-Kankanhalli/1744045', 'https://www.semanticscholar.org/author/Yongkang-Wong/3026404', 'https://www.semanticscholar.org/author/Qi-Zhao/47521917']","[{'Publications': '44', 'h-index': '12', 'Citations': '464', 'Highly Influential Citations': '19'}, {'Publications': '5', 'h-index': '3', 'Citations': '81', 'Highly Influential Citations': '3'}, {'Publications': '449', 'h-index': '46', 'Citations': '9,219', 'Highly Influential Citations': '486'}, {'Publications': '69', 'h-index': '17', 'Citations': '1,074', 'Highly Influential Citations': '93'}, {'Publications': '451', 'h-index': '44', 'Citations': '18,264', 'Highly Influential Citations': '929'}]"
