Exponentially Decaying Flows for Optimization in Deep Learning,27 September 2018,['https://www.semanticscholar.org/paper/Exponentially-Decaying-Flows-for-Optimization-in-Takeori-Nakamura/afa06ca67b339948a6fd2e676e0e8f72c419f6ca'],"['https://www.semanticscholar.org/author/Kenta-Nakamura/2057298', 'https://www.semanticscholar.org/author/Mitsuharu-Takeori/2286398']"
In search of theoretically grounded pruning,27 September 2018,['https://www.semanticscholar.org/paper/In-search-of-theoretically-grounded-pruning-Svoboda-Liberis/1605b76942db973594117496f7512f76797612d9'],"['https://www.semanticscholar.org/author/Filip-Svoboda/32423477', 'https://www.semanticscholar.org/author/Nicholas-D.-Lane/144948031', 'https://www.semanticscholar.org/author/Edgar-Liberis/25674299']"
Structured Content Preservation for Unsupervised Text Style Transfer,27 September 2018,['https://www.semanticscholar.org/paper/Structured-Content-Preservation-for-Unsupervised-Tian-Hu/701c3c112f54ab392deeb97e3fc2af84b8723f07'],"['https://www.semanticscholar.org/author/Youzhi-Tian/80281511', 'https://www.semanticscholar.org/author/Zhiting-Hu/2749311', 'https://www.semanticscholar.org/author/Zhou-Yu/144007938']"
Advanced Neuroevolution: A gradient-free algorithm to train Deep Neural Networks,27 September 2018,['https://www.semanticscholar.org/paper/Advanced-Neuroevolution%3A-A-gradient-free-algorithm-Aly-Weikersdorfer/583d3a443e13b4065cfef6361b40f5a10cdc3934'],"['https://www.semanticscholar.org/author/Ahmed-Aly/145501912', 'https://www.semanticscholar.org/author/David-Weikersdorfer/1711006', 'https://www.semanticscholar.org/author/Claire-Delaunay/66447342']"
Bridging HMMs and RNNs through Architectural Transformations,27 September 2018,['https://www.semanticscholar.org/paper/Bridging-HMMs-and-RNNs-through-Architectural-Buys-Bisk/694c0c5a4d0176e29bb85e1b9ca8ea84075fbbbb'],"['https://www.semanticscholar.org/author/Yonatan-Bisk/3312309', 'https://www.semanticscholar.org/author/Yejin-Choi/1699545', 'https://www.semanticscholar.org/author/Jan-Buys/144685020']"
Learning with Little Data: Evaluation of Deep Learning Algorithms,27 September 2018,['https://www.semanticscholar.org/paper/Learning-with-Little-Data%3A-Evaluation-of-Deep-Look-Riedelbauch/c7fd64405d0fb3a9061da97c175ca7e9cb609593'],"['https://www.semanticscholar.org/author/Stefan-Riedelbauch/3391026', 'https://www.semanticscholar.org/author/Andreas-Look/41178340']"
Hierarchical Deep Reinforcement Learning Agent with Counter Self-play  on Competitive Games ,27 September 2018,['https://www.semanticscholar.org/paper/Hierarchical-Deep-Reinforcement-Learning-Agent-with-Xu-Paster/af804e726d7e34391b3b5f32c4a0d2dbbe76b22a'],"['https://www.semanticscholar.org/author/Trevor-Darrell/1753210', 'https://www.semanticscholar.org/author/Keiran-Paster/73775191', 'https://www.semanticscholar.org/author/Sergey-Levine/1736651', 'https://www.semanticscholar.org/author/Qibin-Chen/50282546', 'https://www.semanticscholar.org/author/Pieter-Abbeel/1689992', 'https://www.semanticscholar.org/author/Haoran-Tang/4990833', 'https://www.semanticscholar.org/author/Huazhe-Xu/3286703']"
Label Smoothing and Logit Squeezing: A Replacement for Adversarial Training?,25 October 2019,['https://www.semanticscholar.org/paper/Label-Smoothing-and-Logit-Squeezing%3A-A-Replacement-Shafahi-Ghiasi/176875a416ff1b1a259e0efc7a03c5e2fa43126f'],"['https://www.semanticscholar.org/author/Furong-Huang/40070055', 'https://www.semanticscholar.org/author/Amin-Ghiasi/115752784', 'https://www.semanticscholar.org/author/Ali-Shafahi/3246287', 'https://www.semanticscholar.org/author/Tom-Goldstein/1962083']"
Rotation Equivariant Networks via Conic Convolution and the DFT,27 September 2018,['https://www.semanticscholar.org/paper/Rotation-Equivariant-Networks-via-Conic-Convolution-Chidester-Do/4325888c67f8d94f421ada3d79c1cdf1a03e3948'],"['https://www.semanticscholar.org/author/M.-N.-Do/144075307', 'https://www.semanticscholar.org/author/Jian-Ma/145608501', 'https://www.semanticscholar.org/author/Benjamin-Chidester/2252364']"
GradMix: Multi-source Transfer across Domains and Tasks,9 February 2020,['https://www.semanticscholar.org/paper/GradMix%3A-Multi-source-Transfer-across-Domains-and-Li-Xu/623664c5079d3f5060952ade2fb1d56dd1286fc3'],"['https://www.semanticscholar.org/author/Ziwei-Xu/2649420', 'https://www.semanticscholar.org/author/Junnan-Li/47786521', 'https://www.semanticscholar.org/author/Mohan-S.-Kankanhalli/1744045', 'https://www.semanticscholar.org/author/Yongkang-Wong/3026404', 'https://www.semanticscholar.org/author/Qi-Zhao/47521917']"
