year,title,authors,author_data
2018,Tensor-Based Preposition Representation,"['https://www.semanticscholar.org/author/Suma-Bhat/145355558', 'https://www.semanticscholar.org/author/Pramod-Viswanath/144768649', 'https://www.semanticscholar.org/author/Hongyu-Gong/2008458']","[{'Publications': '64', 'h-index': '10', 'Citations': '365', 'Highly Influential Citations': '32'}, {'Publications': '179', 'h-index': '40', 'Citations': '18,026', 'Highly Influential Citations': '2,074'}, {'Publications': '17', 'h-index': '6', 'Citations': '132', 'Highly Influential Citations': '12'}]"
2018,Tactical Decision Making for Lane Changing with Deep Reinforcement Learning,"['https://www.semanticscholar.org/author/Alireza-Nakhaei/2148583', 'https://www.semanticscholar.org/author/Mustafa-Mukadam/2874057', 'https://www.semanticscholar.org/author/Akansel-Cosgun/3216610', 'https://www.semanticscholar.org/author/Kikuo-Fujimura/35047644']","[{'Publications': '43', 'h-index': '10', 'Citations': '379', 'Highly Influential Citations': '19'}, {'Publications': '23', 'h-index': '9', 'Citations': '312', 'Highly Influential Citations': '19'}, {'Publications': '31', 'h-index': '11', 'Citations': '491', 'Highly Influential Citations': '20'}, {'Publications': '161', 'h-index': '29', 'Citations': '4,281', 'Highly Influential Citations': '229'}]"
2018, A Matrix Approximation View of NCE that Justifies Self-Normalization,"['https://www.semanticscholar.org/author/Jacob-Goldberger/34508613', 'https://www.semanticscholar.org/author/Oren-Melamud/2298649']","[{'Publications': '180', 'h-index': '36', 'Citations': '5,740', 'Highly Influential Citations': '559'}, {'Publications': '20', 'h-index': '8', 'Citations': '552', 'Highly Influential Citations': '85'}]"
2018,Detecting Anomalies in Communication Packet Streams based on  Generative Adversarial Networks,"['https://www.semanticscholar.org/author/Xingbao-Qiu/50829863', 'https://www.semanticscholar.org/author/Di-Zhang/145549377', 'https://www.semanticscholar.org/author/Qiang-Niu/144700069']","[{'Publications': '3', 'h-index': '1', 'Citations': '1', 'Highly Influential Citations': '0'}, {'Publications': '518', 'h-index': '33', 'Citations': '4,413', 'Highly Influential Citations': '172'}, {'Publications': '157', 'h-index': '19', 'Citations': '1,266', 'Highly Influential Citations': '59'}]"
2018,Distributional Inclusion Vector Embedding for Unsupervised Hypernymy Detection,"['https://www.semanticscholar.org/author/ZiYun-Wang/39747646', 'https://www.semanticscholar.org/author/Haw-Shiuan-Chang/144827671', 'https://www.semanticscholar.org/author/Luke-Vilnis/2546951', 'https://www.semanticscholar.org/author/Andrew-McCallum/143753639']","[{'Publications': '29', 'h-index': '5', 'Citations': '82', 'Highly Influential Citations': '9'}, {'Publications': '19', 'h-index': '8', 'Citations': '315', 'Highly Influential Citations': '30'}, {'Publications': '25', 'h-index': '11', 'Citations': '1,805', 'Highly Influential Citations': '303'}, {'Publications': '434', 'h-index': '98', 'Citations': '52,577', 'Highly Influential Citations': '5,357'}]"
2018,Embedding Multimodal Relational Data,"['https://www.semanticscholar.org/author/Liyan-Chen/46307991', 'https://www.semanticscholar.org/author/Pouya-Pezeshkpour/1713436', 'https://www.semanticscholar.org/author/Sameer-Singh/34650964']","[{'Publications': '5', 'h-index': '3', 'Citations': '36', 'Highly Influential Citations': '3'}, {'Publications': '9', 'h-index': '3', 'Citations': '40', 'Highly Influential Citations': '5'}, {'Publications': '125', 'h-index': '28', 'Citations': '5,910', 'Highly Influential Citations': '794'}]"
2018,pix2code: Generating Code from a Graphical User Interface Screenshot,['https://www.semanticscholar.org/author/Tony-Beltramelli/2796188'],"[{'Publications': '3', 'h-index': '2', 'Citations': '93', 'Highly Influential Citations': '12'}]"
2018,Improved Learning in Convolutional Neural Networks with Shifted Exponential Linear Units (ShELUs),"['https://www.semanticscholar.org/author/Bertil-Grelsson/2945030', 'https://www.semanticscholar.org/author/Michael-Felsberg/2228323']","[{'Publications': '17', 'h-index': '4', 'Citations': '42', 'Highly Influential Citations': '2'}, {'Publications': '222', 'h-index': '40', 'Citations': '11,850', 'Highly Influential Citations': '2,245'}]"
2018,Robust Task Clustering for Deep and Diverse Multi-Task and Few-Shot Learning,"['https://www.semanticscholar.org/author/Xiaoxiao-Guo/1955964', 'https://www.semanticscholar.org/author/Mo-Yu/2482533', 'https://www.semanticscholar.org/author/Jinfeng-Yi/2882166', 'https://www.semanticscholar.org/author/Shiyu-Chang/3307026', 'https://www.semanticscholar.org/author/Saloni-Potdar/3543187', 'https://www.semanticscholar.org/author/Gerald-Tesauro/1699108', 'https://www.semanticscholar.org/author/Haoyu-Wang/48016687', 'https://www.semanticscholar.org/author/Bowen-Zhou/145218984']","[{'Publications': '43', 'h-index': '13', 'Citations': '1,551', 'Highly Influential Citations': '217'}, {'Publications': '71', 'h-index': '27', 'Citations': '3,711', 'Highly Influential Citations': '465'}, {'Publications': '79', 'h-index': '24', 'Citations': '2,110', 'Highly Influential Citations': '254'}, {'Publications': '112', 'h-index': '29', 'Citations': '3,104', 'Highly Influential Citations': '415'}, {'Publications': '9', 'h-index': '4', 'Citations': '152', 'Highly Influential Citations': '14'}, {'Publications': '124', 'h-index': '46', 'Citations': '8,204', 'Highly Influential Citations': '707'}, {'Publications': '7', 'h-index': '4', 'Citations': '100', 'Highly Influential Citations': '11'}, {'Publications': '187', 'h-index': '31', 'Citations': '6,771', 'Highly Influential Citations': '909'}]"
2018,Per-Weight Class-Based Learning Rates via Analytical Continuation,"['https://www.semanticscholar.org/author/Michael-Rotman/32576006', 'https://www.semanticscholar.org/author/Lior-Wolf/145128145']","[{'Publications': '7', 'h-index': '2', 'Citations': '24', 'Highly Influential Citations': '9'}, {'Publications': '199', 'h-index': '47', 'Citations': '15,230', 'Highly Influential Citations': '1,643'}]"
