Fix-Net: pure fixed-point representation of deep neural networks,"['https://www.semanticscholar.org/author/Lars-Rosenbaum/40138779', 'https://www.semanticscholar.org/author/Fabian-Timm/3001475', 'https://www.semanticscholar.org/author/Wolfram-Burgard/1725973', 'https://www.semanticscholar.org/author/Lukas-Enderich/151088724']","[{'Publications': '30', 'h-index': '11', 'Citations': '567', 'Highly Influential Citations': '25'}, {'Publications': '20', 'h-index': '6', 'Citations': '356', 'Highly Influential Citations': '40'}, {'Publications': '783', 'h-index': '100', 'Citations': '53,280', 'Highly Influential Citations': '3,906'}, {'Publications': '3', 'h-index': '1', 'Citations': '4', 'Highly Influential Citations': '0'}]"
Random Partition Relaxation for Training Binary and Ternary Weight Neural Network,"['https://www.semanticscholar.org/author/Lukas-Cavigelli/1701257', 'https://www.semanticscholar.org/author/Luca-Benini/1710649']","[{'Publications': '49', 'h-index': '12', 'Citations': '1,013', 'Highly Influential Citations': '92'}, {'Publications': '1,313', 'h-index': '86', 'Citations': '35,085', 'Highly Influential Citations': '1,959'}]"
Emergent Communication in Networked Multi-Agent Reinforcement Learning,"['https://www.semanticscholar.org/author/Amebdkar-Dukkipati/1661018164', 'https://www.semanticscholar.org/author/Rishi-Hazra/1399739959', 'https://www.semanticscholar.org/author/Shubham-Gupta/145733816']","[{'Publications': '1', 'h-index': '0', 'Citations': '0', 'Highly Influential Citations': '0'}, {'Publications': '4', 'h-index': '0', 'Citations': '0', 'Highly Influential Citations': '0'}, {'Publications': '130', 'h-index': '16', 'Citations': '1,084', 'Highly Influential Citations': '57'}]"
Recognizing Plans by Learning Embeddings from Observed Action Distributions,"['https://www.semanticscholar.org/author/Subbarao-Kambhampati/1740315', 'https://www.semanticscholar.org/author/Sriram-Gopalakrishnan/30865023', 'https://www.semanticscholar.org/author/Yikang-Li/2180892', 'https://www.semanticscholar.org/author/Yantian-Zha/8241534', 'https://www.semanticscholar.org/author/Baoxin-Li/2913552']","[{'Publications': '419', 'h-index': '44', 'Citations': '8,142', 'Highly Influential Citations': '542'}, {'Publications': '16', 'h-index': '3', 'Citations': '18', 'Highly Influential Citations': '0'}, {'Publications': '73', 'h-index': '12', 'Citations': '690', 'Highly Influential Citations': '86'}, {'Publications': '6', 'h-index': '3', 'Citations': '38', 'Highly Influential Citations': '0'}, {'Publications': '227', 'h-index': '29', 'Citations': '3,794', 'Highly Influential Citations': '294'}]"
Cancer homogeneity in single cell revealed by Bi-state model and Binary matrix factorization,"['https://www.semanticscholar.org/author/Wennan-Chang/47288131', 'https://www.semanticscholar.org/author/Xiao-Wang/92422845', 'https://www.semanticscholar.org/author/Sha-Cao/47897643', 'https://www.semanticscholar.org/author/Changlin-Wan/40400896', 'https://www.semanticscholar.org/author/Chi-Zhang/48934874']","[{'Publications': '2', 'h-index': '0', 'Citations': '0', 'Highly Influential Citations': '0'}, {'Publications': '370', 'h-index': '65', 'Citations': '12,174', 'Highly Influential Citations': '364'}, {'Publications': '23', 'h-index': '6', 'Citations': '164', 'Highly Influential Citations': '6'}, {'Publications': '26', 'h-index': '6', 'Citations': '116', 'Highly Influential Citations': '3'}, {'Publications': '86', 'h-index': '6', 'Citations': '176', 'Highly Influential Citations': '6'}]"
Residual EBMs: Does Real vs. Fake Text Discrimination Generalize?,"[""https://www.semanticscholar.org/author/Marc'Aurelio-Ranzato/116587616"", 'https://www.semanticscholar.org/author/Myle-Ott/40511414', 'https://www.semanticscholar.org/author/Anton-Bakhtin/152918929', 'https://www.semanticscholar.org/author/Sam-Gross/39793298', 'https://www.semanticscholar.org/author/Arthur-Szlam/3149531', 'https://www.semanticscholar.org/author/Yuntian-Deng/2505751']","[{'Publications': '17', 'h-index': '4', 'Citations': '56', 'Highly Influential Citations': '7'}, {'Publications': '39', 'h-index': '20', 'Citations': '4,157', 'Highly Influential Citations': '818'}, {'Publications': '14', 'h-index': '6', 'Citations': '178', 'Highly Influential Citations': '27'}, {'Publications': '17', 'h-index': '11', 'Citations': '7,820', 'Highly Influential Citations': '954'}, {'Publications': '87', 'h-index': '35', 'Citations': '9,245', 'Highly Influential Citations': '969'}, {'Publications': '31', 'h-index': '13', 'Citations': '1,513', 'Highly Influential Citations': '234'}]"
EnsembleNet: A novel architecture for Incremental Learning,"['https://www.semanticscholar.org/author/Yeturu-Kalidas/7415754', 'https://www.semanticscholar.org/author/Suri-Bhasker-Sri-Harsha/1572259452']","[{'Publications': '6', 'h-index': '1', 'Citations': '75', 'Highly Influential Citations': '6'}, {'Publications': '1', 'h-index': '0', 'Citations': '0', 'Highly Influential Citations': '0'}]"
Dual Sequential Monte Carlo: Tunneling Filtering and Planning in Continuous POMDPs,"['https://www.semanticscholar.org/author/Jiajun-Wu/3045089', 'https://www.semanticscholar.org/author/Bo-Liu/47655718', 'https://www.semanticscholar.org/author/Joshua-B.-Tenenbaum/1763295', 'https://www.semanticscholar.org/author/Yuke-Zhu/2117748', 'https://www.semanticscholar.org/author/Li-Fei-Fei/48004138', 'https://www.semanticscholar.org/author/Simon-S.-Du/145697585']","[{'Publications': '91', 'h-index': '30', 'Citations': '4,151', 'Highly Influential Citations': '394'}, {'Publications': '627', 'h-index': '34', 'Citations': '6,805', 'Highly Influential Citations': '414'}, {'Publications': '599', 'h-index': '88', 'Citations': '33,543', 'Highly Influential Citations': '2,752'}, {'Publications': '57', 'h-index': '20', 'Citations': '2,473', 'Highly Influential Citations': '301'}, {'Publications': '452', 'h-index': '99', 'Citations': '84,787', 'Highly Influential Citations': '11,922'}, {'Publications': '56', 'h-index': '20', 'Citations': '2,135', 'Highly Influential Citations': '322'}]"
Fast Bilinear Matrix Normalization via  Rank-1 Update,"['https://www.semanticscholar.org/author/Ping-Li/2420746', 'https://www.semanticscholar.org/author/Tan-Yu/3287750', 'https://www.semanticscholar.org/author/Yunfeng-Cai/48694117']","[{'Publications': '109', 'h-index': '10', 'Citations': '332', 'Highly Influential Citations': '19'}, {'Publications': '67', 'h-index': '8', 'Citations': '289', 'Highly Influential Citations': '26'}, {'Publications': '15', 'h-index': '1', 'Citations': '30', 'Highly Influential Citations': '3'}]"
Task-Mediated Representation Learning,"['https://www.semanticscholar.org/author/Ron-Sun/36060173', 'https://www.semanticscholar.org/author/Sergei-Bugrov/1660945588']","[{'Publications': '66', 'h-index': '15', 'Citations': '1,204', 'Highly Influential Citations': '105'}, {'Publications': '1', 'h-index': '0', 'Citations': '0', 'Highly Influential Citations': '0'}]"
