Multitask learning of Multilingual Sentence Representations,29 January 2018,"['https://www.semanticscholar.org/paper/Multitask-learning-of-Multilingual-Sentence-Singla-Can/ad1bd3a25275e7ee28ef7bf6518deffb41ee7cae', 'https://www.semanticscholar.org/paper/A-Multi-task-Approach-to-Learning-Multilingual-Singla-Can/0b43f66d99f43017db3e2975d38f1d86d1bde1ca']","['https://www.semanticscholar.org/author/Dogan-Can/2913858', 'https://www.semanticscholar.org/author/Shrikanth-S.-Narayanan/145254843', 'https://www.semanticscholar.org/author/Do%C4%9Fan-Can/46690501', 'https://www.semanticscholar.org/author/Karan-Singla/3471353']"
Dense Transformer Networks,24 May 2017,"['https://www.semanticscholar.org/paper/Dense-Transformer-Networks-for-Brain-Electron-Image-Li-Chen/a55ed39239b34653edc8d3a9b17554967e38a503', 'https://www.semanticscholar.org/paper/Dense-Transformer-Networks-Li-Chen/e430d6df0f31c1e2882f2a60795abae9d3f954ab', 'https://www.semanticscholar.org/paper/Dense-Transformer-Networks-Li/cb406838c479bb94f7659a63110ec43e104f193a']","['https://www.semanticscholar.org/author/Lei-Cai/50258385', 'https://www.semanticscholar.org/author/Yongjun-Chen/49070069', 'https://www.semanticscholar.org/author/Shuiwang-Ji/1743600', 'https://www.semanticscholar.org/author/Ian-Davidson/143763341', 'https://www.semanticscholar.org/author/Jun-Li/37397865', 'https://www.semanticscholar.org/author/Jun-Yu-Li/46276037', 'https://www.semanticscholar.org/author/Lei-Cai/31694365', 'https://www.semanticscholar.org/author/Jun-Li/49298752', 'https://www.semanticscholar.org/author/Yongjun-Chen/29515359']"
Improved Learning in Convolutional Neural Networks with Shifted Exponential Linear Units (ShELUs),1 August 2018,"['https://www.semanticscholar.org/paper/Improved-Learning-in-Convolutional-Neural-Networks-Grelsson-Felsberg/9a629b5a530cadfd3e5209603b3150866557b564', 'https://www.semanticscholar.org/paper/Improved-Learning-in-Convolutional-Neural-Grelsson-Felsberg/75949df7c5a54bb2ef7053285c7eb747b4d33a6d']","['https://www.semanticscholar.org/author/Bertil-Grelsson/2945030', 'https://www.semanticscholar.org/author/Michael-Felsberg/2228323']"
Attribute-aware Collaborative Filtering: Survey and Classification,11 December 2017,"['https://www.semanticscholar.org/paper/Attribute-aware-Collaborative-Filtering%3A-Survey-and-Chen-Hsu/296831a95aa306e3d3409d482439d7827c19cc46', 'https://www.semanticscholar.org/paper/Attribute-Aware-Recommender-System-Based-on-Survey-Chen-Hsu/a8b34545935013dac51e9f1012c5df07257e9dcd']","['https://www.semanticscholar.org/author/Vincent-Liu/144237796', 'https://www.semanticscholar.org/author/Shou-de-Lin/2818798', 'https://www.semanticscholar.org/author/Wen-Hao-Chen/3716488', 'https://www.semanticscholar.org/author/Wenhao-Chen/47482645', 'https://www.semanticscholar.org/author/Mi-Yen-Yeh/39907129', 'https://www.semanticscholar.org/author/Chin-Chi-Hsu/2081791', 'https://www.semanticscholar.org/author/Yi-An-Lai/2117866']"
