Few-Shot Learning with Simplex,15 February 2018,['https://www.semanticscholar.org/paper/Few-Shot-Learning-with-Simplex-Zhang-Zhang/1a91176216db49a84d86a76ac1d2d73e208d1efb'],"['https://www.semanticscholar.org/author/Xifan-Zhang/5033465', 'https://www.semanticscholar.org/author/Deli-Zhao/1678783', 'https://www.semanticscholar.org/author/Fan-Cheng/47901000', 'https://www.semanticscholar.org/author/Bowen-Zhang/46824111']"
Tracking Loss: Converting Object Detector to Robust Visual Tracker,15 February 2018,['https://www.semanticscholar.org/paper/Tracking-Loss%3A-Converting-Object-Detector-to-Robust-Yan-Ren/61af1e4b4bfc4cd38ca969963be66ef4db30afd3'],"['https://www.semanticscholar.org/author/Stephen-Shaoyi-Liao/2168770', 'https://www.semanticscholar.org/author/Zhenbin-Yan/49356834', 'https://www.semanticscholar.org/author/Kai-Yang/48782904', 'https://www.semanticscholar.org/author/Jimmy-S.-J.-Ren/145335572']"
Large Margin Neural Language Models,15 February 2018,['https://www.semanticscholar.org/paper/Large-Margin-Neural-Language-Model-Huang-Li/ac5925e0be9695c70e01aa87aa7cf49d2a7f3db4'],"['https://www.semanticscholar.org/author/Liang-Huang/48545084', 'https://www.semanticscholar.org/author/Jiaji-Huang/34060310', 'https://www.semanticscholar.org/author/Yi-Li/47002970', 'https://www.semanticscholar.org/author/Wei-Ping/34337724']"
Clustering with Deep Learning: Taxonomy and New Methods,23 January 2018,['https://www.semanticscholar.org/paper/Clustering-with-Deep-Learning%3A-Taxonomy-and-New-Aljalbout-Golkov/48b9d350a0f20fdce7c8edc198fb3b3350600157'],"['https://www.semanticscholar.org/author/Vladimir-Golkov/2943639', 'https://www.semanticscholar.org/author/Daniel-Cremers/1695302', 'https://www.semanticscholar.org/author/Elie-Aljalbout/35402354', 'https://www.semanticscholar.org/author/Yawar-Siddiqui/35445401']"
Improving Conditional Sequence Generative Adversarial Networks by Stepwise Evaluation,16 August 2018,['https://www.semanticscholar.org/paper/Improving-Conditional-Sequence-Generative-Networks-Tuan-Lee/484ffd765876bc7f82a9eacff68ca20dbd4fcc34'],"['https://www.semanticscholar.org/author/Yi-Lin-Tuan/41017887', 'https://www.semanticscholar.org/author/Hung-yi-Lee/1706104']"
Convolutional Mesh Autoencoders for 3D Face Representation,15 February 2018,['https://www.semanticscholar.org/paper/Convolutional-Mesh-Autoencoders-for-3D-Face-Ranjan-Bolkart/090d5da6a808a2c362be8e1eb208e17222e4c9d6'],"['https://www.semanticscholar.org/author/Timo-Bolkart/1780750', 'https://www.semanticscholar.org/author/Michael-J.-Black/2105795', 'https://www.semanticscholar.org/author/Anurag-Ranjan/1952002']"
DENSELY CONNECTED RECURRENT NEURAL NETWORK FOR SEQUENCE-TO-SEQUENCE LEARNING,19 June 2019,['https://www.semanticscholar.org/paper/Densely-Connected-Graph-Convolutional-Networks-for-Guo-Zhang/d58438041e8d645a3e531325d4f0aed3dbe41920'],"['https://www.semanticscholar.org/author/Zhiyang-Teng/2272668', 'https://www.semanticscholar.org/author/Wei-Lu/143844110', 'https://www.semanticscholar.org/author/Zhijiang-Guo/2681038', 'https://www.semanticscholar.org/author/Yan-Zhang/46866815']"
Assessing the scalability of biologically-motivated deep learning algorithms and architectures,13 January 2018,['https://www.semanticscholar.org/paper/Assessing-the-Scalability-of-Biologically-Motivated-Bartunov-Santoro/c898161e3691625bcef780b78100f70e8bb94154'],"['https://www.semanticscholar.org/author/Timothy-P.-Lillicrap/2542999', 'https://www.semanticscholar.org/author/Geoffrey-E.-Hinton/1695689', 'https://www.semanticscholar.org/author/Blake-A.-Richards/38498866', 'https://www.semanticscholar.org/author/Adam-Santoro/35030998', 'https://www.semanticscholar.org/author/Sergey-Bartunov/2258504']"
A Neural-Symbolic Approach to Natural Language Tasks,15 February 2018,['https://www.semanticscholar.org/paper/A-Neural-Symbolic-Approach-to-Natural-Language-Huang-Smolensky/ba67de7e822a94091b9e57cc9be3069822a4f5c8'],"['https://www.semanticscholar.org/author/Paul-Smolensky/1748557', 'https://www.semanticscholar.org/author/Xiaodong-He/144137069', 'https://www.semanticscholar.org/author/Li-Deng/144718788', 'https://www.semanticscholar.org/author/Qiuyuan-Huang/1788124', 'https://www.semanticscholar.org/author/Dapeng-Wu/144953174']"
Softmax Supervision with Isotropic Normalization,15 February 2018,['https://www.semanticscholar.org/paper/Softmax-Supervision-with-Isotropic-Normalization-Zhao-Zhao/bdb4a094e5358d105288cd7af6f89a011ed66081'],"['https://www.semanticscholar.org/author/Bo-Zhang/144639789', 'https://www.semanticscholar.org/author/Deli-Zhao/1678783', 'https://www.semanticscholar.org/author/Yue-Zhao/47827548', 'https://www.semanticscholar.org/author/Shaohua-Wan/49725227']"
