year,title,date,paper_links,author_links
2019,Learning Spatio-Temporal Representations Using Spike-Based Backpropagation,9/27/18,['https://www.semanticscholar.org/paper/Learning-Spatio-Temporal-Representations-Using-Roy-Panda/ec87d707236e7dd966dcf9d162602ceae7d47d2e'],"['https://www.semanticscholar.org/author/Priyadarshini-Panda/9352814', 'https://www.semanticscholar.org/author/Kaushik-Roy/143915672', 'https://www.semanticscholar.org/author/Deboleena-Roy/47404993']"
2019,Cosine similarity-based Adversarial process,9/27/18,['https://www.semanticscholar.org/paper/Cosine-similarity-based-adversarial-process-Heo-Jung/a11fedfe2c887c56d4e25ebdcbf1f80f4d5b2306'],"['https://www.semanticscholar.org/author/Hye-jin-Shim/1715317', 'https://www.semanticscholar.org/author/Ha-Jin-Yu/1849546', 'https://www.semanticscholar.org/author/Jee-weon-Jung/31930118', 'https://www.semanticscholar.org/author/Il-Ho-Yang/2276746', 'https://www.semanticscholar.org/author/Hee-Soo-Heo/3403702']"
2019,Low-Cost Parameterizations of Deep Convolutional Neural Networks,5/20/18,['https://www.semanticscholar.org/paper/Low-Cost-Parameterizations-of-Deep-Convolution-Treister-Ruthotto/56a724dfff4b247ad0680c10d9a42a7d80c4cdad'],"['https://www.semanticscholar.org/author/Eran-Treister/2784349', 'https://www.semanticscholar.org/author/Michal-Sharoni/3508451', 'https://www.semanticscholar.org/author/Sapir-Zafrani/46190124', 'https://www.semanticscholar.org/author/Lars-Ruthotto/49418655', 'https://www.semanticscholar.org/author/Eldad-Haber/145761835']"
2019,Engaging Image Captioning Via Personality,10/25/18,['https://www.semanticscholar.org/paper/Engaging-Image-Captioning-via-Personality-Shuster-Humeau/c677000c9078fdff8622be15a37db7d4945f36c2'],"['https://www.semanticscholar.org/author/Hexiang-Hu/2804000', 'https://www.semanticscholar.org/author/Antoine-Bordes/1713934', 'https://www.semanticscholar.org/author/Jason-Weston/145183709', 'https://www.semanticscholar.org/author/Kurt-Shuster/35752280', 'https://www.semanticscholar.org/author/Samuel-Humeau/2795882']"
2019,Spectral Convolutional Networks on Hierarchical Multigraphs,9/27/18,['https://www.semanticscholar.org/paper/Spectral-Convolutional-Networks-on-Hierarchical-Knyazev-Lin/7ca8f4985a1fa501f3019564d53f59039fb2d8e5'],"['https://www.semanticscholar.org/author/Xiao-Lin/9136919', 'https://www.semanticscholar.org/author/Mohammed-Abdel-Rahman-Amer/4599641', 'https://www.semanticscholar.org/author/Graham-W.-Taylor/144639556', 'https://www.semanticscholar.org/author/Boris-Knyazev/49934559']"
2019,MCTSBug: Generating Adversarial Text Sequences via Monte Carlo Tree Search and Homoglyph Attack,9/27/18,['https://www.semanticscholar.org/paper/MCTSBug%3A-Generating-Adversarial-Text-Sequences-via-Gao-Lanchantin/91431322204d4a18df541a8c5f46fdeafd23b95b'],"['https://www.semanticscholar.org/author/Yanjun-Qi/1791105', 'https://www.semanticscholar.org/author/Jack-Lanchantin/3369052', 'https://www.semanticscholar.org/author/Ji-Gao/144029129']"
2019,Bamboo: Ball-Shape Data Augmentation Against Adversarial Attacks from All Directions,9/27/18,['https://www.semanticscholar.org/paper/Bamboo%3A-Ball-Shape-Data-Augmentation-Against-from-Yang-Zhang/21d348b55bb2e705e81255b01727ecb7cb476799'],"['https://www.semanticscholar.org/author/Jingchi-Zhang/23631324', 'https://www.semanticscholar.org/author/Yiran-Chen/50579965', 'https://www.semanticscholar.org/author/Hai-Li/40348219', 'https://www.semanticscholar.org/author/Wenhan-Wang/47824833', 'https://www.semanticscholar.org/author/Huanrui-Yang/47912363', 'https://www.semanticscholar.org/author/Hsin-Pai-Cheng/3461946']"
2019,Learning Grounded Sentence Representations by Jointly Using Video and Text Information,9/27/18,['https://www.semanticscholar.org/paper/Learning-Grounded-Sentence-Representations-by-Using-Bordes-Zablocki/e033b25f12c14c21b646d4c04ef32946f380078f'],"['https://www.semanticscholar.org/author/Laure-Soulier/145159652', 'https://www.semanticscholar.org/author/Benjamin-Piwowarski/1703777', 'https://www.semanticscholar.org/author/Patrick-Bordes/22710849', 'https://www.semanticscholar.org/author/Eloi-Zablocki/39541096', 'https://www.semanticscholar.org/author/Patrick-Gallinari/1741426']"
2019,Isolating effects of age with fair representation learning when assessing dementia,7/19/18,['https://www.semanticscholar.org/paper/Isolating-effects-of-age-with-fair-representation-Zhu-Novikova/c49d67971fbae748cb7e18ae1a953cd4f7221c51'],"['https://www.semanticscholar.org/author/Zining-Zhu/8129672', 'https://www.semanticscholar.org/author/Frank-Rudzicz/2479037', 'https://www.semanticscholar.org/author/Jekaterina-Novikova/2848048']"
2019,Diagnosing Language Inconsistency in Cross-Lingual Word Embeddings,9/27/18,['https://www.semanticscholar.org/paper/Diagnosing-Language-Inconsistency-in-Cross-Lingual-Fujinuma-Boyd-Graber/36ea550d7eb930e78a71bceb44229a1d04ee3418'],"['https://www.semanticscholar.org/author/Michael-J.-Paul/143946641', 'https://www.semanticscholar.org/author/Jordan-L.-Boyd-Graber/1763916', 'https://www.semanticscholar.org/author/Yoshinari-Fujinuma/31482660']"
