authors_links,authors_citations,authors_publications,authors_h-index,authors_highly_influenced_papers
"['https://www.semanticscholar.org/author/Kenny-J.-Young/145098632', 'https://www.semanticscholar.org/author/Shuo-Yang/1692609', 'https://www.semanticscholar.org/author/Richard-S.-Sutton/1699645']",3;5338;47227,1;423;288,1;31;66,1;466;6990
"['https://www.semanticscholar.org/author/Sanjay-Purushotham/144735626', 'https://www.semanticscholar.org/author/Zhengping-Che/1939695', 'https://www.semanticscholar.org/author/Bo-Jiang/48709666', 'https://www.semanticscholar.org/author/Tanachat-Nilanon/9736486', 'https://www.semanticscholar.org/author/Yan-Liu/52397289']",1084;1071;3971;75;223,39;22;550;6;28,13;11;27;4;4,115;109;111;6;33
"['https://www.semanticscholar.org/author/Jianqi-Ma/3493380', 'https://www.semanticscholar.org/author/Hangyu-Lin/3369728', 'https://www.semanticscholar.org/author/Yinda-Zhang/2507239', 'https://www.semanticscholar.org/author/Yanwei-Fu/144866389', 'https://www.semanticscholar.org/author/Xiangyang-Xue/145905953']",169;61;1693;87;6223,26;10;35;22;281,7;4;15;5;39,2;3;302;2;591
"['https://www.semanticscholar.org/author/Hanock-Kwak/3434480', 'https://www.semanticscholar.org/author/Byoung-tak-Zhang/48335241']",36;302,5;41,2;6,4;24
"['https://www.semanticscholar.org/author/Dongsoo-Lee/2669596', 'https://www.semanticscholar.org/author/Daehyun-Ahn/51139214', 'https://www.semanticscholar.org/author/Taesu-Kim/39716995', 'https://www.semanticscholar.org/author/Pierce-I-Jen-Chuang/30652232', 'https://www.semanticscholar.org/author/Jae-Joon-Kim/2032081']",331;20;1903;199;1345,33;7;106;14;112,10;3;20;6;17,39;7;173;49;114
"['https://www.semanticscholar.org/author/Joji-Toyama/30831824', 'https://www.semanticscholar.org/author/Yusuke-Iwasawa/1715282', 'https://www.semanticscholar.org/author/Kotaro-Nakayama/1943224', 'https://www.semanticscholar.org/author/Yutaka-Matsuo/145733486']",21;113;674;3403,10;39;71;492,3;5;13;28,5;10;88;193
"['https://www.semanticscholar.org/author/Kosuke-Kusano/27739612', 'https://www.semanticscholar.org/author/Jun-Sakuma/1733719']",1;1201,2;114,1;16,0;100
"['https://www.semanticscholar.org/author/Rohan-Anil/144624867', 'https://www.semanticscholar.org/author/Gabriel-Pereyra/2627937', 'https://www.semanticscholar.org/author/Alexandre-Passos/144720379', 'https://www.semanticscholar.org/author/R%C3%B3bert-Orm%C3%A1ndi/1768041', 'https://www.semanticscholar.org/author/George-E.-Dahl/35188630', 'https://www.semanticscholar.org/author/Geoffrey-E.-Hinton/1695689']",993;573;21497;311;17664;210562,14;12;28;28;45;415,6;3;9;8;27;127,132;76;1489;31;1332;21462
"['https://www.semanticscholar.org/author/Xuanqing-Liu/23979212', 'https://www.semanticscholar.org/author/Jason-D.-Lee/2421201', 'https://www.semanticscholar.org/author/Cho-Jui-Hsieh/1793529']",250;4629;12483,20;118;168,6;36;40,35;604;1722
"['https://www.semanticscholar.org/author/Lei-Wu/47767769', 'https://www.semanticscholar.org/author/Zhanxing-Zhu/1703952', 'https://www.semanticscholar.org/author/Cheng-Tai/13035477', 'https://www.semanticscholar.org/author/E-Weinan/47494565']",3534;841;488;1394,512;80;23;33,28;14;9;9,101;105;45;114
"['https://www.semanticscholar.org/author/Yao-Hung-Hubert-Tsai/145639633', 'https://www.semanticscholar.org/author/Han-Zhao/51209090', 'https://www.semanticscholar.org/author/Nebojsa-Jojic/1698689', 'https://www.semanticscholar.org/author/Ruslan-Salakhutdinov/145124475']",529;1026;3474;66785,63;125;139;253,12;18;29;81,71;66;322;7750
"['https://www.semanticscholar.org/author/Cijo-Jose/39602054', 'https://www.semanticscholar.org/author/Moustapha-Ciss%C3%A9/5723508', 'https://www.semanticscholar.org/author/Fran%C3%A7ois-Fleuret/2721983']",232;2930;4901,8;48;136,5;19;29,23;402;519
"['https://www.semanticscholar.org/author/Sourya-Dey/40033559', 'https://www.semanticscholar.org/author/Kuan-Wen-Huang/2352051', 'https://www.semanticscholar.org/author/Peter-A.-Beerel/2658716', 'https://www.semanticscholar.org/author/Keith-M.-Chugg/1768907']",45;157;1970;1475,9;10;193;125,4;5;22;21,0;7;162;170
"['https://www.semanticscholar.org/author/Bo-Chang/144757437', 'https://www.semanticscholar.org/author/Lili-Meng/48153708', 'https://www.semanticscholar.org/author/Eldad-Haber/145761835', 'https://www.semanticscholar.org/author/Frederick-Tung/2123865', 'https://www.semanticscholar.org/author/David-Begert/14820928']",421;473;3155;693;158,56;53;164;65;4,8;12;33;14;2,42;34;261;48;12
"['https://www.semanticscholar.org/author/Chenglong-Wang/50096305', 'https://www.semanticscholar.org/author/Marc-Brockschmidt/2107692', 'https://www.semanticscholar.org/author/Rishabh-Singh/37493633']",716;2475;2149,68;61;80,12;22;24,45;326;185
"['https://www.semanticscholar.org/author/Guokun-Lai/1857734', 'https://www.semanticscholar.org/author/Hanxiao-Liu/2391802', 'https://www.semanticscholar.org/author/Yiming-Yang/35729970']",784;1969;21147,14;35;272,6;12;49,149;513;2566
"['https://www.semanticscholar.org/author/Hanshu-Yan/143619442', 'https://www.semanticscholar.org/author/Jiashi-Feng/33221685']",12;9241,9;328,1;51,0;1200
"['https://www.semanticscholar.org/author/Ozsel-Kilinc/39865419', 'https://www.semanticscholar.org/author/Ismail-Uysal/2237262']",58;509,11;81,5;11,5;36
"['https://www.semanticscholar.org/author/Gautam-Pai/33810537', 'https://www.semanticscholar.org/author/Ronen-Talmon/1797665', 'https://www.semanticscholar.org/author/Ron-Kimmel/143923265']",23;1244;16046,13;105;259,3;20;55,1;45;1394
['https://www.semanticscholar.org/author/Hiroshi-Inoue/94017290'],847,216,14,61
"['https://www.semanticscholar.org/author/Deniz-Oktay/4781463', 'https://www.semanticscholar.org/author/Carl-Vondrick/1856025', 'https://www.semanticscholar.org/author/Antonio-Torralba/143805211']",14;4034;48036,10;56;281,2;25;88,0;466;6310
"['https://www.semanticscholar.org/author/Liam-Li/51517360', 'https://www.semanticscholar.org/author/Kevin-G.-Jamieson/40566417', 'https://www.semanticscholar.org/author/Afshin-Rostamizadeh/2435268', 'https://www.semanticscholar.org/author/Ekaterina-Gonina/2308319', 'https://www.semanticscholar.org/author/Moritz-Hardt/1775622', 'https://www.semanticscholar.org/author/Benjamin-Recht/9229182', 'https://www.semanticscholar.org/author/Ameet-Talwalkar/145532827']",190;1594;4296;331;7643;20105;6281,7;47;61;26;88;141;78,3;17;23;11;33;55;34,34;241;608;37;949;2640;759
"['https://www.semanticscholar.org/author/Peiye-Zhuang/72612482', 'https://www.semanticscholar.org/author/Alexander-G.-Schwing/2068227', 'https://www.semanticscholar.org/author/Oluwasanmi-O.-Koyejo/1927542']",14;3682;128,4;116;4,2;31;3,1;340;22
"['https://www.semanticscholar.org/author/Brenden-M.-Lake/2373318', 'https://www.semanticscholar.org/author/Marco-Baroni/145283199']",2966;10140,47;190,16;43,287;1305
"['https://www.semanticscholar.org/author/Hsin-Yuan-Huang/2343654', 'https://www.semanticscholar.org/author/Chenguang-Zhu/8652308', 'https://www.semanticscholar.org/author/Yelong-Shen/1752875', 'https://www.semanticscholar.org/author/Weizhu-Chen/7307263']",353;841;2121;1754,39;47;50;62,12;11;16;19,44;95;214;235
"['https://www.semanticscholar.org/author/Po-Chen-Hsieh/49180543', 'https://www.semanticscholar.org/author/Chia-Ping-Chen/1686057']",17;705,4;84,2;13,0;77
['https://www.semanticscholar.org/author/Siddharth-Krishna-Kumar/32212210'],64,19,4,7
"['https://www.semanticscholar.org/author/Furong-Huang/40070055', 'https://www.semanticscholar.org/author/Jordan-T.-Ash/40401847', 'https://www.semanticscholar.org/author/John-Langford/144162125', 'https://www.semanticscholar.org/author/Robert-E.-Schapire/1716301']",1789;106;11802;64477,130;15;198;260,21;5;49;75,191;13;1282;9715
"['https://www.semanticscholar.org/author/Martin-Schrimpf/8551292', 'https://www.semanticscholar.org/author/Stephen-Merity/3375440', 'https://www.semanticscholar.org/author/James-Bradbury/40518045', 'https://www.semanticscholar.org/author/Richard-Socher/2166511']",227;1838;1293;52263,20;18;14;180,6;8;7;49,24;361;229;8807
"['https://www.semanticscholar.org/author/Lukasz-Kaiser/40527594', 'https://www.semanticscholar.org/author/Aidan-N.-Gomez/19177000', 'https://www.semanticscholar.org/author/Noam-Shazeer/1846258', 'https://www.semanticscholar.org/author/Ashish-Vaswani/40348417', 'https://www.semanticscholar.org/author/Niki-Parmar/3877127', 'https://www.semanticscholar.org/author/Llion-Jones/145024664', 'https://www.semanticscholar.org/author/Jakob-Uszkoreit/39328010']",22306;9624;12620;11449;9900;9704;11549,75;15;43;52;20;13;36,24;8;19;22;12;10;22,3854;2382;2744;2659;2398;2359;2652
"['https://www.semanticscholar.org/author/Brady-Neal/84392845', 'https://www.semanticscholar.org/author/Alex-Lamb/49071560', 'https://www.semanticscholar.org/author/Sherjil-Ozair/1955694', 'https://www.semanticscholar.org/author/R.-Devon-Hjelm/40482726', 'https://www.semanticscholar.org/author/Aaron-C.-Courville/1760871', 'https://www.semanticscholar.org/author/Yoshua-Bengio/1751762', 'https://www.semanticscholar.org/author/Ioannis-Mitliagkas/3168518']",30;1148;18008;1636;59549;201105;1164,5;21;18;43;203;807;43,1;9;10;13;64;147;18,1;182;3594;258;7800;23941;189
"['https://www.semanticscholar.org/author/Seong-Joon-Oh/2390510', 'https://www.semanticscholar.org/author/Max-Augustin/30137838', 'https://www.semanticscholar.org/author/Mario-Fritz/1739548', 'https://www.semanticscholar.org/author/Bernt-Schiele/48920094']",637;116;7610;40491,29;10;196;501,12;4;45;98,84;8;1001;5067
"['https://www.semanticscholar.org/author/Shirin-Dora/1743518', 'https://www.semanticscholar.org/author/Cyriel-M.-A.-Pennartz/2107385', 'https://www.semanticscholar.org/author/Sander-M.-Bohte/1929254']",92;5112;2246,13;144;117,6;38;22,10;437;234
"['https://www.semanticscholar.org/author/R-Chen/103593920', 'https://www.semanticscholar.org/author/Kun-Wu/46312372', 'https://www.semanticscholar.org/author/Ping-Luo/47571885']",53;994;9211,3;133;94,2;16;41,5;52;1645
"['https://www.semanticscholar.org/author/Melike-Nur-Mermer/72913769', 'https://www.semanticscholar.org/author/Mehmet-Fatih-Amasyali/144631472']",1;126,1;29,1;5,0;12
"['https://www.semanticscholar.org/author/Sahil-Sharma/48703799', 'https://www.semanticscholar.org/author/J-GirishRaguvir/14072426', 'https://www.semanticscholar.org/author/Srivatsan-Ramesh/49553883', 'https://www.semanticscholar.org/author/Balaraman-Ravindran/1723632']",231;0;20;2415,43;5;10;233,10;0;2;27,13;0;0;196
"['https://www.semanticscholar.org/author/Rudy-Bunel/3407947', 'https://www.semanticscholar.org/author/Ilker-Turkaslan/29997402', 'https://www.semanticscholar.org/author/Philip-H.-S.-Torr/143635540', 'https://www.semanticscholar.org/author/Pushmeet-Kohli/143967473', 'https://www.semanticscholar.org/author/M.-Pawan-Kumar/3717791']",421;95;28029;22034;2613,20;3;354;313;83,10;3;83;69;24,52;8;3831;2746;249
"['https://www.semanticscholar.org/author/Tom-Zahavy/3331540', 'https://www.semanticscholar.org/author/Bingyi-Kang/1995717', 'https://www.semanticscholar.org/author/Alexander-Sivak/94344432', 'https://www.semanticscholar.org/author/Jiashi-Feng/33221685', 'https://www.semanticscholar.org/author/Huan-Xu/143719795', 'https://www.semanticscholar.org/author/Shie-Mannor/1712535']",483;825;118;9241;6480;11404,31;41;30;328;298;418,9;14;5;51;37;50,30;69;2;1200;549;1225
"['https://www.semanticscholar.org/author/Joshua-Fromm/143728133', 'https://www.semanticscholar.org/author/Matthai-Philipose/3041721', 'https://www.semanticscholar.org/author/Shwetak-N.-Patel/1701358']",143;5582;6533,9;117;213,4;34;43,6;410;469
"['https://www.semanticscholar.org/author/Xavier-Bresson/2549032', 'https://www.semanticscholar.org/author/Thomas-Laurent/81634721']",6322;1437,105;56,34;20,818;133
"['https://www.semanticscholar.org/author/Pablo-M.-Olmos/145790527', 'https://www.semanticscholar.org/author/Briland-Hitaj/1997436', 'https://www.semanticscholar.org/author/Paolo-Gasti/1710346', 'https://www.semanticscholar.org/author/Giuseppe-Ateniese/1700850', 'https://www.semanticscholar.org/author/Fernando-P%C3%A9rez-Cruz/1388508441']",515;309;1935;10866;2476,70;8;62;108;133,12;3;23;41;26,62;40;213;1262;236
['https://www.semanticscholar.org/author/David-Saxton/143810408'],1004,30,9,150
"['https://www.semanticscholar.org/author/Dzmitry-Bahdanau/3335364', 'https://www.semanticscholar.org/author/Tom-Bosc/3448428', 'https://www.semanticscholar.org/author/Stanislaw-Jastrzebski/40569328', 'https://www.semanticscholar.org/author/Edward-Grefenstette/1864353', 'https://www.semanticscholar.org/author/Pascal-Vincent/145467703', 'https://www.semanticscholar.org/author/Yoshua-Bengio/1751762']",26662;96;847;6977;15366;201105,31;7;27;57;118;807,18;4;12;25;33;147,4157;11;99;836;1334;23941
"['https://www.semanticscholar.org/author/Chi-Chun-Chuang/73047693', 'https://www.semanticscholar.org/author/Zheng-Xin-Weng/71683613', 'https://www.semanticscholar.org/author/Shan-Hung-Wu/1743036']",0;0;300,1;1;33,0;0;11,0;0;46
['https://www.semanticscholar.org/author/Konrad-Groh/39683956'],28,13,3,0
"['https://www.semanticscholar.org/author/Mary-Phuong/145115235', 'https://www.semanticscholar.org/author/Max-Welling/1678311', 'https://www.semanticscholar.org/author/Nate-Kushman/1684887', 'https://www.semanticscholar.org/author/Ryota-Tomioka/46670616', 'https://www.semanticscholar.org/author/Sebastian-Nowozin/2388416']",42;26464;1488;34;6860,5;269;29;9;134,3;58;17;3;39,5;5073;202;5;930
"['https://www.semanticscholar.org/author/Ricardo-Pio-Monti/2738769', 'https://www.semanticscholar.org/author/Sina-Tootoonian/3110308', 'https://www.semanticscholar.org/author/Robin-Cao/6240380']",262;138;55,37;12;11,8;5;4,16;10;1
"['https://www.semanticscholar.org/author/Joshua-C.-Peterson/6672056', 'https://www.semanticscholar.org/author/Krisha-Aghi/153799870', 'https://www.semanticscholar.org/author/Jordan-W.-Suchow/2176225', 'https://www.semanticscholar.org/author/Alexander-Ku/31702389', 'https://www.semanticscholar.org/author/Thomas-L.-Griffiths/1799860']",263;19;33;358;21294,30;2;29;10;439,9;1;4;6;70,17;0;0;25;2170
"['https://www.semanticscholar.org/author/Jinsung-Yoon/2144029', 'https://www.semanticscholar.org/author/William-R.-Zame/1808276', 'https://www.semanticscholar.org/author/Mihaela-van-der-Schaar/1729969']",536;2512;8628,55;167;643,13;26;42,57;283;539
['https://www.semanticscholar.org/author/Jan-Hendrik-Metzen/2708564'],1785,64,15,171
"['https://www.semanticscholar.org/author/Yasin-Yazici/8229062', 'https://www.semanticscholar.org/author/Kim-Hui-Yap/145053416', 'https://www.semanticscholar.org/author/Stefan-Winkler/29810094']",75;1066;5060,6;132;206,2;19;33,6;76;378
"['https://www.semanticscholar.org/author/Heechang-Ryu/9732924', 'https://www.semanticscholar.org/author/Dong-Hyun-Kim/50203904', 'https://www.semanticscholar.org/author/Hayong-Shin/3084727']",18;327;423,7;171;80,2;10;11,3;16;30
"['https://www.semanticscholar.org/author/Su-Young-Lee/144098143', 'https://www.semanticscholar.org/author/Sung-Ik-Choi/3443614', 'https://www.semanticscholar.org/author/Sae-Young-Chung/38008756']",572;8;4745,137;4;156,14;1;25,30;1;536
"['https://www.semanticscholar.org/author/Vuong-Ho-Quan/104373181', 'https://www.semanticscholar.org/author/Yiming-Zhang/49891112', 'https://www.semanticscholar.org/author/Kenny-Song/49462350', 'https://www.semanticscholar.org/author/Xiao-Yue-Gong/46203874', 'https://www.semanticscholar.org/author/Keith-W.-Ross/1829862']",0;449;3;3;11976,1;32;3;4;295,0;12;1;1;55,0;30;0;0;1295
"['https://www.semanticscholar.org/author/Adi-Hayat/80617505', 'https://www.semanticscholar.org/author/Mark-Kliger/3296773', 'https://www.semanticscholar.org/author/Shachar-Fleishman/3355053', 'https://www.semanticscholar.org/author/Daniel-Cohen-Or/1388323541']",4;498;2767;19305,2;31;30;346,1;13;14;72,0;48;240;1559
"['https://www.semanticscholar.org/author/Konstantinos-Pitas/3208802', 'https://www.semanticscholar.org/author/Mike-E.-Davies/144113976', 'https://www.semanticscholar.org/author/Pierre-Vandergheynst/1697397']",19;8864;16515,10;346;409,2;42;54,0;899;1868
"['https://www.semanticscholar.org/author/Chen-Xu/144282087', 'https://www.semanticscholar.org/author/Jianqiang-Yao/32320704', 'https://www.semanticscholar.org/author/Zhouchen-Lin/33383055', 'https://www.semanticscholar.org/author/Wenwu-Ou/10336865', 'https://www.semanticscholar.org/author/Yuanbin-Cao/35667580', 'https://www.semanticscholar.org/author/Zhirong-Wang/2652989', 'https://www.semanticscholar.org/author/Hongbin-Zha/1687248']",2494;81;11524;245;55;827;4281,169;4;224;29;2;57;386,23;3;47;8;1;17;34,192;20;1993;39;19;55;281
"['https://www.semanticscholar.org/author/Wei-Shen/144084228', 'https://www.semanticscholar.org/author/Rujie-Liu/2113095']",10065;415,721;66,48;8,660;35
"['https://www.semanticscholar.org/author/Digvijay-Boob/27640659', 'https://www.semanticscholar.org/author/Guanghui-Lan/2070945']",56;4472,10;88,4;27,2;614
"['https://www.semanticscholar.org/author/Jan-Kukacka/21556091', 'https://www.semanticscholar.org/author/Vladimir-Golkov/2943639', 'https://www.semanticscholar.org/author/Daniel-Cremers/1695302']",89;1899;24880,5;35;494,3;9;76,3;291;2727
"['https://www.semanticscholar.org/author/Giannis-Nikolentzos/3005882', 'https://www.semanticscholar.org/author/Polykarpos-Meladianos/3171285', 'https://www.semanticscholar.org/author/Antoine-Jean-Pierre-Tixier/34857735', 'https://www.semanticscholar.org/author/Konstantinos-Skianis/2641961', 'https://www.semanticscholar.org/author/Michalis-Vazirgiannis/1690383']",348;339;92;112;9324,30;17;8;14;322,11;10;5;5;41,18;20;5;3;662
"['https://www.semanticscholar.org/author/Milan-Aggarwal/6657914', 'https://www.semanticscholar.org/author/Aarushi-Arora/26439334', ""https://www.semanticscholar.org/author/Shagun-Sodhani/2462516']Improving Search Through A3C Reinforcement Learning Based Conversational Agen"", 'https://www.semanticscholar.org/author/Balaji-Krishnamurthy/145846953']",78;1;272;70,23;2;68;9,5;1;8;3,7;0;20;3
"['https://www.semanticscholar.org/author/Ricky-Loynd/2815483', 'https://www.semanticscholar.org/author/Matthew-J.-Hausknecht/3308897', 'https://www.semanticscholar.org/author/Lihong-Li/28929337', 'https://www.semanticscholar.org/author/Li-Deng/144718795']",108;2890;10545;262,8;38;242;39,5;17;46;8,11;313;1187;19
"['https://www.semanticscholar.org/author/Dario-Garcia-Gasulla/1389953200', 'https://www.semanticscholar.org/author/Armand-Vilalta/9927990', 'https://www.semanticscholar.org/author/Ferran-Par%C3%A9s/144954447', 'https://www.semanticscholar.org/author/Jonatan-Moreno/48171353', 'https://www.semanticscholar.org/author/Eduard-Ayguad%C3%A9/1744495', 'https://www.semanticscholar.org/author/Jes%C3%BAs-Labarta/1699563', 'https://www.semanticscholar.org/author/Ulises-Cort%C3%A9s/1742700', 'https://www.semanticscholar.org/author/Toyotaro-Suzumura/2231831']",177;82;105;13;6943;6636;1918;1303,52;15;13;5;473;427;232;131,7;4;5;1;39;37;24;20,10;6;8;2;542;460;113;97
"['https://www.semanticscholar.org/author/Matthias-Plappert/3407285', 'https://www.semanticscholar.org/author/Rein-Houthooft/3127100', 'https://www.semanticscholar.org/author/Prafulla-Dhariwal/6515819', 'https://www.semanticscholar.org/author/Szymon-Sidor/2700360', 'https://www.semanticscholar.org/author/Richard-Y.-Chen/2896187', 'https://www.semanticscholar.org/author/Xi-Chen/41192764', 'https://www.semanticscholar.org/author/Tamim-Asfour/1722677', 'https://www.semanticscholar.org/author/Pieter-Abbeel/1689992', 'https://www.semanticscholar.org/author/Marcin-Andrychowicz/2206490']",843;3605;3327;935;770;13299;7170;36452;3192,11;22;12;15;21;444;294;433;29,7;11;6;7;10;40;43;94;18,74;418;906;67;80;1540;363;4390;367
"['https://www.semanticscholar.org/author/Maryam-Fazel/144651919', 'https://www.semanticscholar.org/author/Rong-Ge/144804200', 'https://www.semanticscholar.org/author/Sham-M.-Kakade/144695232', 'https://www.semanticscholar.org/author/Mehran-Mesbahi/1778153']",6096;5744;13419;6235,99;78;196;268,24;32;57;33,571;801;1960;444
"['https://www.semanticscholar.org/author/Xuefei-Ning/6636914', 'https://www.semanticscholar.org/author/Yin-Zheng/46323061', 'https://www.semanticscholar.org/author/Zhuxi-Jiang/6600358', 'https://www.semanticscholar.org/author/Huazhong-Yang/39150998', '-1', 'https://www.semanticscholar.org/author/Junzhou-Huang/50882910']",126;23;377;5601;-1;342,21;28;10;505;-1;49,6;3;6;36;-1;8,7;1;62;509;0;42
"['https://www.semanticscholar.org/author/Haebeom-Lee/8385951', 'https://www.semanticscholar.org/author/Juho-Lee/1803105', 'https://www.semanticscholar.org/author/Eunho-Yang/1720494', 'https://www.semanticscholar.org/author/Sung-Ju-Hwang/35788904']",48;1498;1032;1093,88;108;74;71,4;20;16;16,3;103;164;124
"['https://www.semanticscholar.org/author/Renjie-Liao/2246396', 'https://www.semanticscholar.org/author/Marc-Brockschmidt/2107692', 'https://www.semanticscholar.org/author/Daniel-Tarlow/1725299', 'https://www.semanticscholar.org/author/Alexander-L.-Gaunt/35058304', 'https://www.semanticscholar.org/author/Raquel-Urtasun/2422559', 'https://www.semanticscholar.org/author/Richard-S.-Zemel/1804104']",1581;2475;2499;1142;24327;21384,63;61;67;38;245;208,22;22;23;14;73;52,204;326;301;88;3432;2479
"['https://www.semanticscholar.org/author/Jindong-Gu/52203056', 'https://www.semanticscholar.org/author/Matthias-Schubert/39403212', 'https://www.semanticscholar.org/author/Volker-Tresp/1700754']",24;1567;8126,8;118;287,2;21;44,4;138;794
"['https://www.semanticscholar.org/author/Haebeom-Lee/8385951', 'https://www.semanticscholar.org/author/Eunho-Yang/1720494', 'https://www.semanticscholar.org/author/Sung-Ju-Hwang/35788904']",48;1032;1093,88;74;71,4;16;16,3;164;124
"['https://www.semanticscholar.org/author/Legrand-Jo%C3%ABl/71403476', 'https://www.semanticscholar.org/author/Yannick-Toussaint/1802166', 'https://www.semanticscholar.org/author/Chedy-Ra%C3%AFssi/1683938', 'https://www.semanticscholar.org/author/Adrien-Coulet/1797384']",0;713;507;801,1;136;66;73,0;15;14;11,0;23;40;73
"['https://www.semanticscholar.org/author/Abhishek-Sinha/144318276', 'https://www.semanticscholar.org/author/B-Akilesh/41018575', 'https://www.semanticscholar.org/author/Mausoom-Sarkar/39230373', 'https://www.semanticscholar.org/author/Balaji-Krishnamurthy/145846953']",24;2;18;272,3;2;13;68,2;1;3;8,1;0;2;20
['https://www.semanticscholar.org/author/Volker-Dipl.-Ing.-Fischer/31273704'],92,37,7,12
"['https://www.semanticscholar.org/author/Yiping-Lu/48518029', 'https://www.semanticscholar.org/author/Aoxiao-Zhong/40153228', 'https://www.semanticscholar.org/author/Quanzheng-Li/1762919', 'https://www.semanticscholar.org/author/Bin-Dong/39131579']",464;755;1694;1763,11;9;136;138,7;5;24;20,47;40;91;120
"['https://www.semanticscholar.org/author/Tao-Lei/144673774', 'https://www.semanticscholar.org/author/Yu-Zhang/46207379', 'https://www.semanticscholar.org/author/Yoav-Artzi/3167681']",1395;1482;2155,191;113;46,20;17;22,115;142;321
"['https://www.semanticscholar.org/author/Meire-Fortunato/39067762', 'https://www.semanticscholar.org/author/Charles-Blundell/1723876', 'https://www.semanticscholar.org/author/Oriol-Vinyals/1689108']",1330;5964;52009,8;50;121,5;22;55,171;1050;6497
"['https://www.semanticscholar.org/author/Jiechao-Xiong/3081531', 'https://www.semanticscholar.org/author/Qing-Wang/49110697', 'https://www.semanticscholar.org/author/Zhuoran-Yang/3069462', 'https://www.semanticscholar.org/author/Peng-Sun/143867373', 'https://www.semanticscholar.org/author/Yang-Zheng/40344025', 'https://www.semanticscholar.org/author/Lei-Han/144938135', 'https://www.semanticscholar.org/author/Haobo-Fu/2268469', 'https://www.semanticscholar.org/author/Xiangru-Lian/2922996', 'https://www.semanticscholar.org/author/Carson-Eisenach/12210412', 'https://www.semanticscholar.org/author/Haichuan-Yang/3274411', 'https://www.semanticscholar.org/author/Emmanuel-Ekwedike/3315009', 'https://www.semanticscholar.org/author/Bei-Peng/2323268', '-1', 'https://www.semanticscholar.org/author/Tong-Zhang/49104973', 'https://www.semanticscholar.org/author/Ji-Liu/37427994', 'https://www.semanticscholar.org/author/Han-Liu/145508089']",187;1201;522;176;3032;205;107;928;15;184;21;537;-1;18847;3693;1178,29;190;47;62;419;59;12;21;8;32;5;71;-1;184;63;78,8;16;12;8;26;7;7;10;2;8;2;13;-1;69;25;19,11;91;70;11;167;13;12;180;0;5;1;18;0;2319;533;132
"['https://www.semanticscholar.org/author/Kushal-Chawla/34338341', 'https://www.semanticscholar.org/author/Sopan-Khosla/10258164', 'https://www.semanticscholar.org/author/Niyati-Chhaya/2954043', 'https://www.semanticscholar.org/author/Kokil-Jaidka/2798221']",17;25;93;500,13;13;41;61,2;2;5;14,0;3;3;33
['https://www.semanticscholar.org/author/James-Henderson/144915758'],2092,141,26,181
"['https://www.semanticscholar.org/author/Yuhuang-Hu/2175899', 'https://www.semanticscholar.org/author/Adrian-E.-G.-Huber/34817779', 'https://www.semanticscholar.org/author/Shih-Chii-Liu/1704961']",231;29;4770,12;8;181,4;3;29,35;0;407
"['https://www.semanticscholar.org/author/Yaniv-Taigman/2188620', 'https://www.semanticscholar.org/author/Lior-Wolf/145128145', 'https://www.semanticscholar.org/author/Adam-Polyak/33964593', 'https://www.semanticscholar.org/author/Eliya-Nachmani/3436681']",5727;13811;757;560,26;199;12;13,16;45;7;8,564;1636;58;38
"['https://www.semanticscholar.org/author/Weiyi-Liu/40143629', 'https://www.semanticscholar.org/author/Hal-Cooper/92780969', 'https://www.semanticscholar.org/author/Min-hwan-Oh/2683817']",933;55;78,169;30;21,13;4;4,60;5;7
"['https://www.semanticscholar.org/author/Dalei-Wu/2528190', 'https://www.semanticscholar.org/author/Xiaohua-Liu/49543292']",1382;193,124;81,20;7,65;12
"['https://www.semanticscholar.org/author/Mikael-K%C3%A5geb%C3%A4ck/1830211', 'https://www.semanticscholar.org/author/Olof-Mogren/2682635']",181;339,14;26,7;7,16;28
"['https://www.semanticscholar.org/author/G%C3%A1bor-Melis/94303026', 'https://www.semanticscholar.org/author/Chris-Dyer/1745899', 'https://www.semanticscholar.org/author/Phil-Blunsom/1685771']",602;21075;11400,14;230;143,8;59;47,99;3147;1326
"['https://www.semanticscholar.org/author/Paul-Quint/40249292', 'https://www.semanticscholar.org/author/Garrett-Wirka/73526868', 'https://www.semanticscholar.org/author/Jacob-Williams/35232114', 'https://www.semanticscholar.org/author/Stephen-D.-Scott/93847855', 'https://www.semanticscholar.org/author/N.-V.-Vinodchandran/1795424']",2;2;172;909;666,4;1;29;86;85,1;1;7;16;14,0;0;18;97;64
"['https://www.semanticscholar.org/author/Dan-Svenstrup/3634317', 'https://www.semanticscholar.org/author/Jonas-Meinertz-Hansen/7576467', 'https://www.semanticscholar.org/author/Ole-Winther/1724252']",35;25;6051,4;4;201,2;2;34,4;4;711
"['https://www.semanticscholar.org/author/Hazem-A.-A.-Nomer/150125768', 'https://www.semanticscholar.org/author/Abdallah-W.-Aboutahoun/29398849', 'https://www.semanticscholar.org/author/Ashraf-Elsayed/145003198']",0;36;176,1;13;40,0;2;7,0;1;11
"['https://www.semanticscholar.org/author/Mikolaj-Binkowski/9961753', 'https://www.semanticscholar.org/author/Gautier-Marti/26359157', 'https://www.semanticscholar.org/author/Philippe-Donnat/2877686']",276;87;98,7;17;16,4;5;5,65;5;8
