authors_links,authors_citations,authors_publications,authors_h-index,authors_highly_influenced_papers
"[""https://www.semanticscholar.org/author/Peter-O'Connor/1410167474"", 'https://www.semanticscholar.org/author/Max-Welling/1678311']",1787;26809,81;269,17;59,133;5116
"['https://www.semanticscholar.org/author/Elad-Hoffer/40555034', 'https://www.semanticscholar.org/author/Nir-Ailon/2048494']",1479;3402,27;92,12;24,175;413
"['https://www.semanticscholar.org/author/Jeff-Donahue/7408951', 'https://www.semanticscholar.org/author/Philipp-Kr%C3%A4henb%C3%BChl/2562966', 'https://www.semanticscholar.org/author/Trevor-Darrell/1753210']",35234;8830;89488,56;43;559,25;26;112,4713;1548;11436
"['https://www.semanticscholar.org/author/Alex-X.-Lee/49250083', 'https://www.semanticscholar.org/author/Sergey-Levine/1736651', 'https://www.semanticscholar.org/author/Pieter-Abbeel/1689992']",1340;24658;36938,18;310;433,15;73;94,151;3204;4451
"['https://www.semanticscholar.org/author/Antoine-Bordes/1713934', 'https://www.semanticscholar.org/author/Y-Lan-Boureau/90841478', 'https://www.semanticscholar.org/author/Jason-Weston/145183709']",16045;4903;45098,77;24;243,32;14;78,2359;334;5838
['https://www.semanticscholar.org/author/Daniel-D.-Johnson/143957977'],238,55,8,16
"['https://www.semanticscholar.org/author/David-Lopez-Paz/1401804750', 'https://www.semanticscholar.org/author/Maxime-Oquab/2093491']",2441;2924,46;20,19;7,418;222
"['https://www.semanticscholar.org/author/%C3%87aglar-G%C3%BCl%C3%A7ehre/1854385', 'https://www.semanticscholar.org/author/Marcin-Moczulski/3009779', 'https://www.semanticscholar.org/author/Francesco-Visin/2077146', 'https://www.semanticscholar.org/author/Yoshua-Bengio/1751762']",19554;437;2757;205027,36;19;11;807,26;7;9;147,2990;40;222;24136
"['https://www.semanticscholar.org/author/Abhishek-Sinha/144318274', 'https://www.semanticscholar.org/author/Aahitagni-Mukherjee/17765450', 'https://www.semanticscholar.org/author/Mausoom-Sarkar/39230373', 'https://www.semanticscholar.org/author/Balaji-Krishnamurthy/145846953']",48;10;18;272,19;3;13;68,4;2;3;8,3;1;2;20
"['https://www.semanticscholar.org/author/Chengtao-Li/7430758', 'https://www.semanticscholar.org/author/Daniel-Tarlow/1725299', 'https://www.semanticscholar.org/author/Alexander-L.-Gaunt/35058304', 'https://www.semanticscholar.org/author/Marc-Brockschmidt/2107692', 'https://www.semanticscholar.org/author/Nate-Kushman/1684887']",1120;2537;1188;2508;1504,102;68;38;61;29,20;23;14;22;17,122;306;88;329;202
"['https://www.semanticscholar.org/author/Klaus-Greff/3035541', 'https://www.semanticscholar.org/author/Rupesh-Kumar-Srivastava/2100612', 'https://www.semanticscholar.org/author/J%C3%BCrgen-Schmidhuber/145341374']",4213;4936;65496,24;34;347,13;12;75,393;470;8323
"['-1', '-1', '-1', '-1', '-1', '-1']",-1;-1;-1;-1;-1;-1,-1;-1;-1;-1;-1;-1,-1;-1;-1;-1;-1;-1,0;0;0;0;0;0
"['https://www.semanticscholar.org/author/Shuohang-Wang/2992833', 'https://www.semanticscholar.org/author/Jing-Jiang/144924150']",1104;7075,21;202,8;32,212;794
"['https://www.semanticscholar.org/author/Yaniv-Taigman/2188620', 'https://www.semanticscholar.org/author/Adam-Polyak/33964593', 'https://www.semanticscholar.org/author/Lior-Wolf/145128145']",5820;757;13974,26;12;199,16;7;45,563;58;1634
"['https://www.semanticscholar.org/author/Hakan-Inan/2901820', 'https://www.semanticscholar.org/author/Khashayar-Khosravi/2308992', 'https://www.semanticscholar.org/author/Richard-Socher/2166511']",352;417;52991,11;14;180,7;5;49,31;52;8889
"['https://www.semanticscholar.org/author/Jonathon-Cai/2350111', 'https://www.semanticscholar.org/author/Richard-Shin/39428234', 'https://www.semanticscholar.org/author/Dawn-Xiaodong-Song/143711382']",91;279;43319,6;29;396,2;9;100,8;27;4323
"['https://www.semanticscholar.org/author/Ishan-Durugkar/9571638', 'https://www.semanticscholar.org/author/Ian-Gemp/8616871', 'https://www.semanticscholar.org/author/Sridhar-Mahadevan/1850503']",335;256;6007,15;25;204,5;4;37,47;26;548
"['https://www.semanticscholar.org/author/Sanjay-Purushotham/144735626', 'https://www.semanticscholar.org/author/Wilka-Carvalho/51913868', 'https://www.semanticscholar.org/author/Tanachat-Nilanon/9736486', 'https://www.semanticscholar.org/author/Yan-Liu/47909587']",1094;110;78;6219,39;4;7;584,13;3;4;35,116;17;6;503
