year,title,first_appearance_date,papers,authors
2020,On the implicit minimization of alternative loss functions when training deep networks,9/25/2019,['https://www.semanticscholar.org/paper/On-the-implicit-minimization-of-alternative-loss-Paquin-Chaib-draa/1d02f17783f36eb4b4102c369d98c9adf0d079c5'],"['https://www.semanticscholar.org/author/Alexandre-Lemire-Paquin/1644081443', 'https://www.semanticscholar.org/author/Brahim-Chaib-draa/1399443272', 'https://www.semanticscholar.org/author/Philippe-Gigu%C3%A8re/2310695']"
2020,UWGAN: UNDERWATER GAN FOR REAL-WORLD UNDERWATER COLOR RESTORATION AND DEHAZING,9/25/2019,"['https://www.semanticscholar.org/paper/UWGAN-%3A-UNDERWATER-GAN-FOR-REAL-WORLD-UNDERWATER-GAN/97724d7df8c92cdb5d41e26e634c36067859f6c0', 'https://www.semanticscholar.org/paper/UWGAN%3A-Underwater-GAN-for-Real-world-Underwater-and-Wang-Zhou/ad8fbe003c65c15429ffa1a81fbd311f9bbae777']","['https://www.semanticscholar.org/author/Fenglei-Han/14481685', 'https://www.semanticscholar.org/author/Yabin-Zhou/49454885', 'https://www.semanticscholar.org/author/Haitao-Zhu/47297723', 'https://www.semanticscholar.org/author/Nan-Wang/152360483', 'https://www.semanticscholar.org/author/Yaojing-Zheng/1470449889', 'https://www.semanticscholar.org/author/Lichao-Wang/7975144']"
2020,LEARNING  TO LEARN  WITH  BETTER  CONVERGENCE,,['-1'],['-1']
2020,Minimally distorted Adversarial Examples with a Fast Adaptive Boundary Attack,7/3/2019,['https://www.semanticscholar.org/paper/Minimally-distorted-Adversarial-Examples-with-a-Croce-Hein/91a05cb84f1c7dbb0354da2ff11ae92549152435'],"['https://www.semanticscholar.org/author/Francesco-Croce/145342730', 'https://www.semanticscholar.org/author/Matthias-Hein/37388290']"
2020,Octave Graph Convolutional Network,9/25/2019,['https://www.semanticscholar.org/paper/Octave-Graph-Convolutional-Network-Chang-Rong/0f3f7c4dcac3ea90cda1bd01698e8777f2b94389'],"['https://www.semanticscholar.org/author/Junzhou-Huang/50882910', 'https://www.semanticscholar.org/author/Yu-Rong/145913039', 'https://www.semanticscholar.org/author/Wenwu-Zhu/145583985', 'https://www.semanticscholar.org/author/Heng-Chang/144188238', 'https://www.semanticscholar.org/author/Somayeh-Sojoudi/46891700']"
2020,"Lift-the-flap: what, where and when for context reasoning",9/25/2019,['https://www.semanticscholar.org/paper/Lift-the-flap%3A-what%2C-where-and-when-for-context-Zhang-Feng/e209e3b5f2ea50191ca269de7b9663c590893fc0'],"['https://www.semanticscholar.org/author/Joseph-Kwon/97697394', 'https://www.semanticscholar.org/author/Mengmi-Zhang/2418491', 'https://www.semanticscholar.org/author/Karla-Montejo/66095131', 'https://www.semanticscholar.org/author/Gabriel-Kreiman/1852992', 'https://www.semanticscholar.org/author/Claire-C.-Tseng/47026646']"
2020,The Dynamics of Signal Propagation in Gated Recurrent Neural Networks,9/25/2019,['https://www.semanticscholar.org/paper/The-Dynamics-of-Signal-Propagation-in-Gated-Neural-Gilboa-Chang/9c4f55fe7fafe4eec53ab09d8dce66fdcc231979'],"['https://www.semanticscholar.org/author/Samuel-S.-Schoenholz/2601641', 'https://www.semanticscholar.org/author/Bo-Chang/1571484153', 'https://www.semanticscholar.org/author/Greg-Yang/35064203', 'https://www.semanticscholar.org/author/Minmin-Chen/1743082', 'https://www.semanticscholar.org/author/Ed-Huai-hsin-Chi/2226805', 'https://www.semanticscholar.org/author/Dar-Gilboa/32994625', 'https://www.semanticscholar.org/author/Jeffrey-Pennington/143845796']"
2020,Regulatory Focus: Promotion and Prevention Inclinations in Policy Search,,['-1'],['-1']
2020,WaveFlow: A Compact Flow-based Model for Raw Audio,9/25/2019,['https://www.semanticscholar.org/paper/WaveFlow%3A-A-Compact-Flow-based-Model-for-Raw-Audio-Ping-Peng/39b11c504dd62f8c57f492f54d5b2e219f955d12'],"['https://www.semanticscholar.org/author/Zhao-Song/143825455', 'https://www.semanticscholar.org/author/Kexin-Zhao/47302988', 'https://www.semanticscholar.org/author/Wei-Ping/34337724', 'https://www.semanticscholar.org/author/Kainan-Peng/12240560']"
2020,Identifying Weights and Architectures of Unknown ReLU Networks,9/25/2019,['https://www.semanticscholar.org/paper/Identifying-Weights-and-Architectures-of-Unknown-Rolnick-K%C3%B6rding/0300bfbf0ce7ed569b40b052e8b12c403ef601a6'],"['https://www.semanticscholar.org/author/David-Rolnick/2381187', 'https://www.semanticscholar.org/author/Konrad-P.-K%C3%B6rding/36121677']"
