authors_review,authors_links,author_stats
Ruben Villegas;Jimei Yang;Seunghoon Hong;Xunyu Lin;Honglak Lee,"['https://www.semanticscholar.org/author/Ruben-Villegas/144543406', 'https://www.semanticscholar.org/author/Jimei-Yang/1768964', 'https://www.semanticscholar.org/author/Seunghoon-Hong/2241528', 'https://www.semanticscholar.org/author/Xunyu-Lin/10668384', 'https://www.semanticscholar.org/author/Honglak-Lee/1697141']","[{'Publications': '21', 'h-index': '10', 'Citations': '957', 'Highly Influential Citations': '132'}, {'Publications': '74', 'h-index': '35', 'Citations': '5,443', 'Highly Influential Citations': '850'}, {'Publications': '25', 'h-index': '15', 'Citations': '2,680', 'Highly Influential Citations': '263'}, {'Publications': '5', 'h-index': '3', 'Citations': '406', 'Highly Influential Citations': '76'}, {'Publications': '166', 'h-index': '61', 'Citations': '24,193', 'Highly Influential Citations': '2,826'}]"
Gabriel Loaiza-Ganem *;Yuanjun Gao *;John P. Cunningham,"['https://www.semanticscholar.org/author/Gabriel-Loaiza-Ganem/1417035074', 'https://www.semanticscholar.org/author/Yuanjun-Gao/3378078', 'https://www.semanticscholar.org/author/John-P.-Cunningham/2575774']","[{'Publications': '5', 'h-index': '3', 'Citations': '33', 'Highly Influential Citations': '0'}, {'Publications': '14', 'h-index': '6', 'Citations': '604', 'Highly Influential Citations': '48'}, {'Publications': '99', 'h-index': '29', 'Citations': '4,953', 'Highly Influential Citations': '425'}]"
Irina Higgins;Loic Matthey;Arka Pal;Christopher Burgess;Xavier Glorot;Matthew Botvinick;Shakir Mohamed;Alexander Lerchner,"['https://www.semanticscholar.org/author/Irina-Higgins/39051054', 'https://www.semanticscholar.org/author/Lo%C3%AFc-Matthey/2367480', 'https://www.semanticscholar.org/author/Arka-Pal/3422676', 'https://www.semanticscholar.org/author/Christopher-Burgess/143641906', 'https://www.semanticscholar.org/author/Xavier-Glorot/3119801', 'https://www.semanticscholar.org/author/Matthew-M-Botvinick/46378362', 'https://www.semanticscholar.org/author/Shakir-Mohamed/14594344', 'https://www.semanticscholar.org/author/Alexander-Lerchner/2289726']","[{'Publications': '25', 'h-index': '11', 'Citations': '2,002', 'Highly Influential Citations': '298'}, {'Publications': '13', 'h-index': '12', 'Citations': '1,818', 'Highly Influential Citations': '274'}, {'Publications': '11', 'h-index': '10', 'Citations': '1,787', 'Highly Influential Citations': '274'}, {'Publications': '64', 'h-index': '9', 'Citations': '1,500', 'Highly Influential Citations': '240'}, {'Publications': '25', 'h-index': '16', 'Citations': '17,982', 'Highly Influential Citations': '1,310'}, {'Publications': '146', 'h-index': '45', 'Citations': '13,623', 'Highly Influential Citations': '1,414'}, {'Publications': '51', 'h-index': '27', 'Citations': '6,973', 'Highly Influential Citations': '1,010'}, {'Publications': '23', 'h-index': '15', 'Citations': '2,115', 'Highly Influential Citations': '321'}]"
Karen Ullrich;Edward Meeds;Max Welling,"['https://www.semanticscholar.org/author/Karen-Ullrich/39677614', 'https://www.semanticscholar.org/author/Edward-Meeds/2848132', 'https://www.semanticscholar.org/author/Max-Welling/1678311']","[{'Publications': '10', 'h-index': '6', 'Citations': '528', 'Highly Influential Citations': '73'}, {'Publications': '21', 'h-index': '10', 'Citations': '587', 'Highly Influential Citations': '80'}, {'Publications': '269', 'h-index': '59', 'Citations': '26,809', 'Highly Influential Citations': '5,116'}]"
Yingzhen Yang;Jiahui Yu;Pushmeet Kohli;Jianchao Yang;Thomas S. Huang,"['https://www.semanticscholar.org/author/Yingzhen-Yang/2680237', 'https://www.semanticscholar.org/author/Jiahui-Yu/46380478', 'https://www.semanticscholar.org/author/Pushmeet-Kohli/143967473', 'https://www.semanticscholar.org/author/Jianchao-Yang/1706007', 'https://www.semanticscholar.org/author/Thomas-S.-Huang/1739208']","[{'Publications': '83', 'h-index': '19', 'Citations': '1,825', 'Highly Influential Citations': '171'}, {'Publications': '40', 'h-index': '13', 'Citations': '1,641', 'Highly Influential Citations': '251'}, {'Publications': '313', 'h-index': '69', 'Citations': '22,310', 'Highly Influential Citations': '2,770'}, {'Publications': '122', 'h-index': '44', 'Citations': '14,279', 'Highly Influential Citations': '2,084'}, {'Publications': '1,501', 'h-index': '119', 'Citations': '68,514', 'Highly Influential Citations': '6,370'}]"
Carlos Florensa;Yan Duan;Pieter Abbeel,"['https://www.semanticscholar.org/author/Carlos-Florensa/10104623', 'https://www.semanticscholar.org/author/Yan-Duan/144581158', 'https://www.semanticscholar.org/author/Pieter-Abbeel/1689992']","[{'Publications': '10', 'h-index': '6', 'Citations': '485', 'Highly Influential Citations': '46'}, {'Publications': '48', 'h-index': '19', 'Citations': '5,544', 'Highly Influential Citations': '643'}, {'Publications': '433', 'h-index': '94', 'Citations': '36,935', 'Highly Influential Citations': '4,451'}]"
Brendan O'Donoghue;Remi Munos;Koray Kavukcuoglu;Volodymyr Mnih,"[""https://www.semanticscholar.org/author/Brendan-O'Donoghue/1389654226"", 'https://www.semanticscholar.org/author/R%C3%A9mi-Munos/118538000', 'https://www.semanticscholar.org/author/Koray-Kavukcuoglu/2645384', 'https://www.semanticscholar.org/author/Volodymyr-Mnih/3255983']","[{'Publications': '30', 'h-index': '16', 'Citations': '2,400', 'Highly Influential Citations': '297'}, {'Publications': '30', 'h-index': '13', 'Citations': '1,747', 'Highly Influential Citations': '261'}, {'Publications': '90', 'h-index': '58', 'Citations': '53,013', 'Highly Influential Citations': '6,854'}, {'Publications': '38', 'h-index': '27', 'Citations': '21,076', 'Highly Influential Citations': '3,370'}]"
Silvia Chiappa;Sébastien Racaniere;Daan Wierstra;Shakir Mohamed,"['https://www.semanticscholar.org/author/Silvia-Chiappa/48880818', 'https://www.semanticscholar.org/author/S%C3%A9bastien-Racani%C3%A8re/2026995', 'https://www.semanticscholar.org/author/Daan-Wierstra/1688276', 'https://www.semanticscholar.org/author/Shakir-Mohamed/14594344']","[{'Publications': '45', 'h-index': '12', 'Citations': '594', 'Highly Influential Citations': '42'}, {'Publications': '32', 'h-index': '12', 'Citations': '787', 'Highly Influential Citations': '77'}, {'Publications': '64', 'h-index': '40', 'Citations': '27,419', 'Highly Influential Citations': '4,775'}, {'Publications': '51', 'h-index': '27', 'Citations': '6,973', 'Highly Influential Citations': '1,010'}]"
Angeliki Lazaridou;Alexander Peysakhovich;Marco Baroni,"['https://www.semanticscholar.org/author/Angeliki-Lazaridou/2672644', 'https://www.semanticscholar.org/author/Alexander-Peysakhovich/1970752', 'https://www.semanticscholar.org/author/Marco-Baroni/145283199']","[{'Publications': '76', 'h-index': '21', 'Citations': '1,733', 'Highly Influential Citations': '193'}, {'Publications': '46', 'h-index': '15', 'Citations': '1,709', 'Highly Influential Citations': '126'}, {'Publications': '190', 'h-index': '43', 'Citations': '10,216', 'Highly Influential Citations': '1,310'}]"
Eric Nalisnick;Padhraic Smyth,"['https://www.semanticscholar.org/author/Eric-T.-Nalisnick/2478908', 'https://www.semanticscholar.org/author/Padhraic-Smyth/50860274']","[{'Publications': '33', 'h-index': '13', 'Citations': '645', 'Highly Influential Citations': '96'}, {'Publications': '410', 'h-index': '65', 'Citations': '25,999', 'Highly Influential Citations': '2,302'}]"
