authors_review,authors_links,author_stats
Zhengping Che;Sanjay Purushotham;Kyunghyun Cho;David Sontag;Yan Liu,"['https://www.semanticscholar.org/author/Zhengping-Che/1939695', 'https://www.semanticscholar.org/author/Sanjay-Purushotham/144735626', 'https://www.semanticscholar.org/author/Kyunghyun-Cho/1979489', 'https://www.semanticscholar.org/author/David-A-Sontag/1746662', 'https://www.semanticscholar.org/author/Yan-Liu/47909587']","[{'Publications': '22', 'h-index': '11', 'Citations': '1,084', 'Highly Influential Citations': '110'}, {'Publications': '39', 'h-index': '13', 'Citations': '1,094', 'Highly Influential Citations': '116'}, {'Publications': '274', 'h-index': '52', 'Citations': '45,940', 'Highly Influential Citations': '6,588'}, {'Publications': '100', 'h-index': '32', 'Citations': '5,666', 'Highly Influential Citations': '783'}, {'Publications': '584', 'h-index': '36', 'Citations': '6,246', 'Highly Influential Citations': '504'}]"
Cheng-Zhi Anna Huang;Tim Cooijmans;Adam Roberts;Aaron Courville;Douglas Eck,"['https://www.semanticscholar.org/author/Cheng-Zhi-Anna-Huang/7900665', 'https://www.semanticscholar.org/author/Tim-Cooijmans/2348758', 'https://www.semanticscholar.org/author/Adam-Roberts/145625142', 'https://www.semanticscholar.org/author/Aaron-C.-Courville/1760871', 'https://www.semanticscholar.org/author/Douglas-Eck/2396681']","[{'Publications': '16', 'h-index': '7', 'Citations': '258', 'Highly Influential Citations': '32'}, {'Publications': '8', 'h-index': '5', 'Citations': '1,962', 'Highly Influential Citations': '170'}, {'Publications': '36', 'h-index': '19', 'Citations': '10,511', 'Highly Influential Citations': '1,456'}, {'Publications': '203', 'h-index': '65', 'Citations': '61,116', 'Highly Influential Citations': '7,900'}, {'Publications': '84', 'h-index': '27', 'Citations': '2,559', 'Highly Influential Citations': '274'}]"
Herve Glotin;Julien Ricard;Randall Balestriero,"['https://www.semanticscholar.org/author/Herv%C3%A9-Glotin/1742496', 'https://www.semanticscholar.org/author/Julien-Ricard/144885837', 'https://www.semanticscholar.org/author/Randall-Balestriero/3201463']","[{'Publications': '280', 'h-index': '25', 'Citations': '1,971', 'Highly Influential Citations': '109'}, {'Publications': '36', 'h-index': '8', 'Citations': '242', 'Highly Influential Citations': '8'}, {'Publications': '38', 'h-index': '5', 'Citations': '114', 'Highly Influential Citations': '2'}]"
Rudolf Kadlec;Ondřej Bajgar;Peter Hrincar;Jan Kleindienst,"['https://www.semanticscholar.org/author/Rudolf-Kadlec/2100019', 'https://www.semanticscholar.org/author/Ondrej-Bajgar/3363139', 'https://www.semanticscholar.org/author/Peter-Hrincar/71648817', 'https://www.semanticscholar.org/author/Jan-Kleindienst/1773749']","[{'Publications': '40', 'h-index': '11', 'Citations': '686', 'Highly Influential Citations': '94'}, {'Publications': '10', 'h-index': '5', 'Citations': '375', 'Highly Influential Citations': '63'}, {'Publications': '2', 'h-index': '1', 'Citations': '1', 'Highly Influential Citations': '0'}, {'Publications': '76', 'h-index': '9', 'Citations': '658', 'Highly Influential Citations': '89'}]"
Wenyuan Zeng;Wenjie Luo;Sanja Fidler;Raquel Urtasun,"['https://www.semanticscholar.org/author/Wenyuan-Zeng/3468942', 'https://www.semanticscholar.org/author/Wenjie-Luo/49756115', 'https://www.semanticscholar.org/author/Sanja-Fidler/37895334', 'https://www.semanticscholar.org/author/Raquel-Urtasun/2422559']","[{'Publications': '12', 'h-index': '7', 'Citations': '412', 'Highly Influential Citations': '54'}, {'Publications': '31', 'h-index': '15', 'Citations': '1,775', 'Highly Influential Citations': '190'}, {'Publications': '160', 'h-index': '48', 'Citations': '10,638', 'Highly Influential Citations': '1,369'}, {'Publications': '245', 'h-index': '73', 'Citations': '24,603', 'Highly Influential Citations': '3,465'}]"
David Silver;Hado van Hasselt;Matteo Hessel;Tom Schaul;Arthur Guez;Tim Harley;Gabriel Dulac-Arnold;David Reichert;Neil Rabinowitz;Andre Barreto;Thomas Degris,"['https://www.semanticscholar.org/author/David-Silver/145824029', 'https://www.semanticscholar.org/author/Hado-van-Hasselt/7634925', 'https://www.semanticscholar.org/author/Matteo-Hessel/39357484', 'https://www.semanticscholar.org/author/Tom-Schaul/1725157', 'https://www.semanticscholar.org/author/Arthur-Guez/35099444', 'https://www.semanticscholar.org/author/Tim-Harley/3367786', 'https://www.semanticscholar.org/author/Gabriel-Dulac-Arnold/1387885286', 'https://www.semanticscholar.org/author/David-P.-Reichert/40634311', 'https://www.semanticscholar.org/author/Neil-C.-Rabinowitz/3422052', 'https://www.semanticscholar.org/author/Andr%C3%A9-Barreto/143999673', 'https://www.semanticscholar.org/author/Thomas-Degris/1804488']","[{'Publications': '159', 'h-index': '56', 'Citations': '42,730', 'Highly Influential Citations': '5,910'}, {'Publications': '51', 'h-index': '21', 'Citations': '5,578', 'Highly Influential Citations': '921'}, {'Publications': '27', 'h-index': '13', 'Citations': '2,292', 'Highly Influential Citations': '368'}, {'Publications': '83', 'h-index': '30', 'Citations': '8,477', 'Highly Influential Citations': '1,128'}, {'Publications': '32', 'h-index': '17', 'Citations': '13,230', 'Highly Influential Citations': '938'}, {'Publications': '14', 'h-index': '7', 'Citations': '4,173', 'Highly Influential Citations': '816'}, {'Publications': '22', 'h-index': '12', 'Citations': '881', 'Highly Influential Citations': '112'}, {'Publications': '18', 'h-index': '11', 'Citations': '955', 'Highly Influential Citations': '86'}, {'Publications': '37', 'h-index': '17', 'Citations': '3,015', 'Highly Influential Citations': '395'}, {'Publications': '12', 'h-index': '6', 'Citations': '402', 'Highly Influential Citations': '37'}, {'Publications': '24', 'h-index': '13', 'Citations': '2,337', 'Highly Influential Citations': '331'}]"
Yunpeng Chen;Xiaojie Jin;Jiashi Feng;Shuicheng Yan,"['https://www.semanticscholar.org/author/Yunpeng-Chen/1713312', 'https://www.semanticscholar.org/author/Xiaojie-Jin/2103483', 'https://www.semanticscholar.org/author/Jiashi-Feng/33221685', 'https://www.semanticscholar.org/author/Shuicheng-Yan/143653681']","[{'Publications': '45', 'h-index': '14', 'Citations': '1,314', 'Highly Influential Citations': '177'}, {'Publications': '52', 'h-index': '15', 'Citations': '1,041', 'Highly Influential Citations': '122'}, {'Publications': '328', 'h-index': '51', 'Citations': '9,415', 'Highly Influential Citations': '1,222'}, {'Publications': '782', 'h-index': '96', 'Citations': '42,352', 'Highly Influential Citations': '5,192'}]"
Yang Fan;Fei Tian;Tao Qin;Tie-Yan Liu,"['https://www.semanticscholar.org/author/Yang-Fan/144566102', 'https://www.semanticscholar.org/author/Fei-Tian/144054173', 'https://www.semanticscholar.org/author/Tao-Qin/143826491', 'https://www.semanticscholar.org/author/Tie-Yan-Liu/152998017']","[{'Publications': '558', 'h-index': '15', 'Citations': '714', 'Highly Influential Citations': '43'}, {'Publications': '370', 'h-index': '32', 'Citations': '5,217', 'Highly Influential Citations': '269'}, {'Publications': '289', 'h-index': '33', 'Citations': '4,959', 'Highly Influential Citations': '587'}, {'Publications': '366', 'h-index': '51', 'Citations': '13,439', 'Highly Influential Citations': '1,721'}]"
Joshua Achiam;Shankar Sastry,"['https://www.semanticscholar.org/author/Joshua-Achiam/3381809', 'https://www.semanticscholar.org/author/S.-Shankar-Sastry/144797536']","[{'Publications': '9', 'h-index': '6', 'Citations': '709', 'Highly Influential Citations': '126'}, {'Publications': '460', 'h-index': '78', 'Citations': '33,758', 'Highly Influential Citations': '3,463'}]"
Levent Sagun;Leon Bottou;Yann LeCun,"['https://www.semanticscholar.org/author/Levent-Sagun/2246570', 'https://www.semanticscholar.org/author/L%C3%A9on-Bottou/52184096', 'https://www.semanticscholar.org/author/Yann-LeCun/1688882']","[{'Publications': '22', 'h-index': '12', 'Citations': '960', 'Highly Influential Citations': '129'}, {'Publications': '167', 'h-index': '58', 'Citations': '48,407', 'Highly Influential Citations': '7,106'}, {'Publications': '345', 'h-index': '107', 'Citations': '92,693', 'Highly Influential Citations': '10,399'}]"
Eric Price;Wojciech Zaremba;Ilya Sutskever,"['https://www.semanticscholar.org/author/Eric-Price/4989538', 'https://www.semanticscholar.org/author/Wojciech-Zaremba/2563432', 'https://www.semanticscholar.org/author/Ilya-Sutskever/1701686']","[{'Publications': '63', 'h-index': '21', 'Citations': '2,734', 'Highly Influential Citations': '396'}, {'Publications': '43', 'h-index': '27', 'Citations': '18,028', 'Highly Influential Citations': '2,338'}, {'Publications': '90', 'h-index': '53', 'Citations': '132,921', 'Highly Influential Citations': '17,040'}]"
Aurelia Léon;Ludovic Denoyer,"['https://www.semanticscholar.org/author/Aur%C3%A9lia-L%C3%A9on/2368628', 'https://www.semanticscholar.org/author/Ludovic-Denoyer/8905591']","[{'Publications': '18', 'h-index': '2', 'Citations': '10', 'Highly Influential Citations': '0'}, {'Publications': '129', 'h-index': '22', 'Citations': '3,033', 'Highly Influential Citations': '526'}]"
Eugene Vorontsov;Chiheb Trabelsi;Samuel Kadoury;Chris Pal,"['https://www.semanticscholar.org/author/Eugene-Vorontsov/37627814', 'https://www.semanticscholar.org/author/Chiheb-Trabelsi/29866465', 'https://www.semanticscholar.org/author/Samuel-Kadoury/1781469', 'https://www.semanticscholar.org/author/Christopher-Joseph-Pal/1972076']","[{'Publications': '20', 'h-index': '11', 'Citations': '921', 'Highly Influential Citations': '55'}, {'Publications': '11', 'h-index': '4', 'Citations': '284', 'Highly Influential Citations': '42'}, {'Publications': '151', 'h-index': '25', 'Citations': '2,380', 'Highly Influential Citations': '124'}, {'Publications': '120', 'h-index': '33', 'Citations': '8,308', 'Highly Influential Citations': '761'}]"
Miltiadis Allamanis;Pankajan Chanthirasegaran;Pushmeet Kohli;Charles Sutton,"['https://www.semanticscholar.org/author/Miltiadis-Allamanis/3216345', 'https://www.semanticscholar.org/author/Pankajan-Chanthirasegaran/3400366', 'https://www.semanticscholar.org/author/Pushmeet-Kohli/143967473', 'https://www.semanticscholar.org/author/Charles-Sutton/37210858']","[{'Publications': '42', 'h-index': '18', 'Citations': '1,939', 'Highly Influential Citations': '202'}, {'Publications': '4', 'h-index': '3', 'Citations': '77', 'Highly Influential Citations': '9'}, {'Publications': '313', 'h-index': '69', 'Citations': '22,310', 'Highly Influential Citations': '2,770'}, {'Publications': '91', 'h-index': '23', 'Citations': '4,993', 'Highly Influential Citations': '564'}]"
Yuanzhi Ke;Masafumi Hagiwara,"['https://www.semanticscholar.org/author/Yuanzhi-Ke/2137628', 'https://www.semanticscholar.org/author/Masafumi-Hagiwara/145719769']","[{'Publications': '10', 'h-index': '3', 'Citations': '33', 'Highly Influential Citations': '3'}, {'Publications': '193', 'h-index': '13', 'Citations': '720', 'Highly Influential Citations': '60'}]"
Timothee LESORT;David FILLIAT,"['https://www.semanticscholar.org/author/Timoth%C3%A9e-Lesort/26418330', 'https://www.semanticscholar.org/author/David-Filliat/1771194']","[{'Publications': '18', 'h-index': '8', 'Citations': '242', 'Highly Influential Citations': '16'}, {'Publications': '135', 'h-index': '23', 'Citations': '2,358', 'Highly Influential Citations': '160'}]"
Gyuwan Kim;Hayoon Yi;Jangho Lee;Yunheung Paek;Sungroh Yoon,"['https://www.semanticscholar.org/author/Gyuwan-Kim/2276429', 'https://www.semanticscholar.org/author/Hayoon-Yi/24275066', 'https://www.semanticscholar.org/author/Jangho-Lee/2808551', 'https://www.semanticscholar.org/author/Yunheung-Paek/144619558', 'https://www.semanticscholar.org/author/Sungroh-Yoon/2999019']","[{'Publications': '14', 'h-index': '3', 'Citations': '84', 'Highly Influential Citations': '9'}, {'Publications': '14', 'h-index': '7', 'Citations': '207', 'Highly Influential Citations': '10'}, {'Publications': '57', 'h-index': '11', 'Citations': '370', 'Highly Influential Citations': '27'}, {'Publications': '184', 'h-index': '23', 'Citations': '1,769', 'Highly Influential Citations': '152'}, {'Publications': '237', 'h-index': '28', 'Citations': '2,842', 'Highly Influential Citations': '176'}]"
Serena Yeung;Anitha Kannan;Yann Dauphin;Li Fei-Fei,"['https://www.semanticscholar.org/author/Serena-Yeung/34149749', 'https://www.semanticscholar.org/author/Anitha-Kannan/145721096', 'https://www.semanticscholar.org/author/Yann-Dauphin/2921469', 'https://www.semanticscholar.org/author/Li-Fei-Fei/48004138']","[{'Publications': '39', 'h-index': '16', 'Citations': '1,091', 'Highly Influential Citations': '123'}, {'Publications': '66', 'h-index': '20', 'Citations': '1,723', 'Highly Influential Citations': '186'}, {'Publications': '43', 'h-index': '27', 'Citations': '8,635', 'Highly Influential Citations': '1,029'}, {'Publications': '449', 'h-index': '95', 'Citations': '79,610', 'Highly Influential Citations': '11,687'}]"
Weidi Xie;Alison Noble;Andrew Zisserman,"['https://www.semanticscholar.org/author/Weidi-Xie/10096695', 'https://www.semanticscholar.org/author/Alison-Noble/144213148', 'https://www.semanticscholar.org/author/Andrew-Zisserman/1688869']","[{'Publications': '30', 'h-index': '12', 'Citations': '1,098', 'Highly Influential Citations': '208'}, {'Publications': '13', 'h-index': '2', 'Citations': '22', 'Highly Influential Citations': '2'}, {'Publications': '797', 'h-index': '140', 'Citations': '139,335', 'Highly Influential Citations': '20,052'}]"
Junhyuk Oh;Satinder Singh;Honglak Lee;Pushmeet Kohli,"['https://www.semanticscholar.org/author/Junhyuk-Oh/2894414', 'https://www.semanticscholar.org/author/Satinder-P.-Singh/1699868', 'https://www.semanticscholar.org/author/Honglak-Lee/1697141', 'https://www.semanticscholar.org/author/Pushmeet-Kohli/143967473']","[{'Publications': '24', 'h-index': '13', 'Citations': '1,377', 'Highly Influential Citations': '135'}, {'Publications': '247', 'h-index': '55', 'Citations': '19,518', 'Highly Influential Citations': '1,940'}, {'Publications': '166', 'h-index': '61', 'Citations': '24,193', 'Highly Influential Citations': '2,826'}, {'Publications': '313', 'h-index': '69', 'Citations': '22,310', 'Highly Influential Citations': '2,770'}]"
Adam Trischler;Tong Wang;Xingdi Yuan;Justin Harris;Alessandro Sordoni;Philip Bachman;Kaheer Suleman,"['https://www.semanticscholar.org/author/Adam-Trischler/3382568', 'https://www.semanticscholar.org/author/Tong-Wang/1695404', 'https://www.semanticscholar.org/author/Xingdi-Yuan/2854297', 'https://www.semanticscholar.org/author/Justin-Harris/37154982', 'https://www.semanticscholar.org/author/Alessandro-Sordoni/2041695', 'https://www.semanticscholar.org/author/Philip-Bachman/143902541', 'https://www.semanticscholar.org/author/Kaheer-Suleman/2987426']","[{'Publications': '47', 'h-index': '17', 'Citations': '1,570', 'Highly Influential Citations': '289'}, {'Publications': '479', 'h-index': '32', 'Citations': '4,458', 'Highly Influential Citations': '278'}, {'Publications': '27', 'h-index': '10', 'Citations': '815', 'Highly Influential Citations': '133'}, {'Publications': '37', 'h-index': '11', 'Citations': '1,310', 'Highly Influential Citations': '147'}, {'Publications': '54', 'h-index': '19', 'Citations': '3,858', 'Highly Influential Citations': '546'}, {'Publications': '31', 'h-index': '14', 'Citations': '1,764', 'Highly Influential Citations': '223'}, {'Publications': '18', 'h-index': '10', 'Citations': '692', 'Highly Influential Citations': '110'}]"
Sajid Anwar;Wonyong Sung,"['https://www.semanticscholar.org/author/Sajid-Anwar/144164881', 'https://www.semanticscholar.org/author/Wonyong-Sung/145057126']","[{'Publications': '26', 'h-index': '6', 'Citations': '90', 'Highly Influential Citations': '3'}, {'Publications': '195', 'h-index': '27', 'Citations': '3,880', 'Highly Influential Citations': '390'}]"
Levent Sagun;Thomas Trogdon;Yann LeCun,"['https://www.semanticscholar.org/author/Levent-Sagun/2246570', 'https://www.semanticscholar.org/author/Thomas-Trogdon/3145523', 'https://www.semanticscholar.org/author/Yann-LeCun/1688882']","[{'Publications': '22', 'h-index': '12', 'Citations': '960', 'Highly Influential Citations': '129'}, {'Publications': '33', 'h-index': '7', 'Citations': '176', 'Highly Influential Citations': '7'}, {'Publications': '345', 'h-index': '107', 'Citations': '92,693', 'Highly Influential Citations': '10,399'}]"
Scott Reed;Aäron van den Oord;Nal Kalchbrenner;Victor Bapst;Matt Botvinick;Nando de Freitas,"['https://www.semanticscholar.org/author/Scott-E.-Reed/144828948', 'https://www.semanticscholar.org/author/A%C3%A4ron-van-den-Oord/3422336', 'https://www.semanticscholar.org/author/Victor-Bapst/2603033', 'https://www.semanticscholar.org/author/Nal-Kalchbrenner/2583391', 'https://www.semanticscholar.org/author/Matthew-M-Botvinick/46378362', 'https://www.semanticscholar.org/author/Nando-de-Freitas/1737568']","[{'Publications': '28', 'h-index': '16', 'Citations': '11,140', 'Highly Influential Citations': '2,061'}, {'Publications': '40', 'h-index': '24', 'Citations': '8,683', 'Highly Influential Citations': '1,104'}, {'Publications': '32', 'h-index': '15', 'Citations': '1,590', 'Highly Influential Citations': '166'}, {'Publications': '27', 'h-index': '18', 'Citations': '16,206', 'Highly Influential Citations': '1,416'}, {'Publications': '146', 'h-index': '45', 'Citations': '13,625', 'Highly Influential Citations': '1,414'}, {'Publications': '184', 'h-index': '55', 'Citations': '19,160', 'Highly Influential Citations': '1,851'}]"
Patrick McClure;Nikolaus Kriegeskorte,"['https://www.semanticscholar.org/author/Patrick-McClure/11856518', 'https://www.semanticscholar.org/author/Nikolaus-Kriegeskorte/3351205']","[{'Publications': '37', 'h-index': '10', 'Citations': '336', 'Highly Influential Citations': '19'}, {'Publications': '176', 'h-index': '44', 'Citations': '13,169', 'Highly Influential Citations': '1,209'}]"
Wilson Hsu;Agastya Kalra;Pascal Poupart,"['https://www.semanticscholar.org/author/Wilson-Hsu/8789981', 'https://www.semanticscholar.org/author/Agastya-Kalra/32452699', 'https://www.semanticscholar.org/author/Pascal-Poupart/1807041']","[{'Publications': '3', 'h-index': '2', 'Citations': '25', 'Highly Influential Citations': '1'}, {'Publications': '8', 'h-index': '2', 'Citations': '29', 'Highly Influential Citations': '2'}, {'Publications': '171', 'h-index': '35', 'Citations': '4,243', 'Highly Influential Citations': '458'}]"
Jonas Gehring;Michael Auli;David Grangier;Yann N. Dauphin,"['https://www.semanticscholar.org/author/Jonas-Gehring/2401865', 'https://www.semanticscholar.org/author/Michael-Auli/2325985', 'https://www.semanticscholar.org/author/David-Grangier/2529182', 'https://www.semanticscholar.org/author/Yann-Dauphin/2921469']","[{'Publications': '17', 'h-index': '9', 'Citations': '2,002', 'Highly Influential Citations': '259'}, {'Publications': '71', 'h-index': '31', 'Citations': '6,880', 'Highly Influential Citations': '1,025'}, {'Publications': '64', 'h-index': '25', 'Citations': '5,119', 'Highly Influential Citations': '757'}, {'Publications': '43', 'h-index': '27', 'Citations': '8,635', 'Highly Influential Citations': '1,029'}]"
Zichao Yang;Phil Blunsom;Chris Dyer;Wang Ling,"['https://www.semanticscholar.org/author/Zichao-Yang/8387085', 'https://www.semanticscholar.org/author/Phil-Blunsom/1685771', 'https://www.semanticscholar.org/author/Chris-Dyer/1745899', 'https://www.semanticscholar.org/author/Wang-Ling/144365797']","[{'Publications': '40', 'h-index': '18', 'Citations': '4,323', 'Highly Influential Citations': '600'}, {'Publications': '144', 'h-index': '47', 'Citations': '11,526', 'Highly Influential Citations': '1,333'}, {'Publications': '232', 'h-index': '60', 'Citations': '21,291', 'Highly Influential Citations': '3,165'}, {'Publications': '757', 'h-index': '21', 'Citations': '2,596', 'Highly Influential Citations': '268'}]"
Siamak Ravanbakhsh;Jeff Schneider;Barnabas Poczos,"['https://www.semanticscholar.org/author/Siamak-Ravanbakhsh/2111187', 'https://www.semanticscholar.org/author/Jeff-G.-Schneider/1753432', 'https://www.semanticscholar.org/author/Barnab%C3%A1s-P%C3%B3czos/1719347']","[{'Publications': '39', 'h-index': '12', 'Citations': '1,045', 'Highly Influential Citations': '106'}, {'Publications': '204', 'h-index': '41', 'Citations': '5,291', 'Highly Influential Citations': '497'}, {'Publications': '243', 'h-index': '40', 'Citations': '5,788', 'Highly Influential Citations': '709'}]"
Alexander Novikov;Mikhail Trofimov;Ivan Oseledets,"['https://www.semanticscholar.org/author/Alexander-Novikov/145954309', 'https://www.semanticscholar.org/author/Mikhail-Trofimov/103810919', 'https://www.semanticscholar.org/author/Ivan-V.-Oseledets/1738205']","[{'Publications': '153', 'h-index': '19', 'Citations': '1,585', 'Highly Influential Citations': '153'}, {'Publications': '7', 'h-index': '3', 'Citations': '51', 'Highly Influential Citations': '3'}, {'Publications': '197', 'h-index': '30', 'Citations': '4,373', 'Highly Influential Citations': '402'}]"
Alexey Kurakin;Ian J. Goodfellow;Samy Bengio,"['https://www.semanticscholar.org/author/Alexey-Kurakin/145714153', 'https://www.semanticscholar.org/author/Ian-J.-Goodfellow/153440022', 'https://www.semanticscholar.org/author/Samy-Bengio/1751569']","[{'Publications': '14', 'h-index': '9', 'Citations': '4,552', 'Highly Influential Citations': '830'}, {'Publications': '90', 'h-index': '56', 'Citations': '56,065', 'Highly Influential Citations': '9,399'}, {'Publications': '332', 'h-index': '67', 'Citations': '26,525', 'Highly Influential Citations': '3,482'}]"
John Arevalo;Thamar Solorio;Manuel Montes-y-Gómez;Fabio A. González,"['https://www.semanticscholar.org/author/John-Edison-Arevalo-Ovalle/3258998', 'https://www.semanticscholar.org/author/Thamar-Solorio/1794626', 'https://www.semanticscholar.org/author/Manuel-Montes-y-G%C3%B3mez/1400883928', 'https://www.semanticscholar.org/author/Fabio-A.-Gonz%C3%A1lez/145580599']","[{'Publications': '16', 'h-index': '9', 'Citations': '642', 'Highly Influential Citations': '33'}, {'Publications': '142', 'h-index': '23', 'Citations': '1,985', 'Highly Influential Citations': '237'}, {'Publications': '107', 'h-index': '13', 'Citations': '634', 'Highly Influential Citations': '57'}, {'Publications': '182', 'h-index': '28', 'Citations': '3,440', 'Highly Influential Citations': '249'}]"
Joao F. Henriques;Andrea Vedaldi,"['https://www.semanticscholar.org/author/Jo%C3%A3o-F.-Henriques/143848064', 'https://www.semanticscholar.org/author/Andrea-Vedaldi/1687524']","[{'Publications': '44', 'h-index': '20', 'Citations': '7,286', 'Highly Influential Citations': '1,801'}, {'Publications': '202', 'h-index': '63', 'Citations': '34,143', 'Highly Influential Citations': '4,663'}]"
Ron Dekel,['https://www.semanticscholar.org/author/Ron-Dekel/3138161'],"[{'Publications': '15', 'h-index': '3', 'Citations': '22', 'Highly Influential Citations': '1'}]"
Karol Grzegorczyk;Marcin Kurdziel,"['https://www.semanticscholar.org/author/Karol-Grzegorczyk/2473173', 'https://www.semanticscholar.org/author/Marcin-Kurdziel/2138307']","[{'Publications': '8', 'h-index': '4', 'Citations': '24', 'Highly Influential Citations': '1'}, {'Publications': '30', 'h-index': '7', 'Citations': '168', 'Highly Influential Citations': '9'}]"
Tao Wei;Changhu Wang;Chang Wen Chen,"['https://www.semanticscholar.org/author/Tao-Wei/143764415', 'https://www.semanticscholar.org/author/Changhu-Wang/1697065', 'https://www.semanticscholar.org/author/Chang-Wen-Chen/1735257']","[{'Publications': '106', 'h-index': '20', 'Citations': '2,302', 'Highly Influential Citations': '230'}, {'Publications': '98', 'h-index': '24', 'Citations': '2,425', 'Highly Influential Citations': '201'}, {'Publications': '576', 'h-index': '35', 'Citations': '6,254', 'Highly Influential Citations': '508'}]"
Sahil Garg;Irina Rish;Guillermo Cecchi;Aurelie Lozano,"['https://www.semanticscholar.org/author/Sahil-Garg/144529280', 'https://www.semanticscholar.org/author/Irina-Rish/2109771', 'https://www.semanticscholar.org/author/Guillermo-A.-Cecchi/40193335', 'https://www.semanticscholar.org/author/Aur%C3%A9lie-C.-Lozano/3422557']","[{'Publications': '101', 'h-index': '17', 'Citations': '711', 'Highly Influential Citations': '15'}, {'Publications': '141', 'h-index': '26', 'Citations': '3,784', 'Highly Influential Citations': '321'}, {'Publications': '198', 'h-index': '30', 'Citations': '3,586', 'Highly Influential Citations': '213'}, {'Publications': '24', 'h-index': '5', 'Citations': '100', 'Highly Influential Citations': '4'}]"
Antonio Valerio Miceli Barone,['https://www.semanticscholar.org/author/Antonio-Valerio-Miceli-Barone/3282877'],"[{'Publications': '21', 'h-index': '10', 'Citations': '671', 'Highly Influential Citations': '88'}]"
Anna C. Gilbert;Yi Zhang;Kibok Lee;Yuting Zhang;Honglak Lee,"['https://www.semanticscholar.org/author/Anna-C.-Gilbert/1795861', 'https://www.semanticscholar.org/author/Yuting-Zhang/145489055', 'https://www.semanticscholar.org/author/Kibok-Lee/2208511', '-1', 'https://www.semanticscholar.org/author/Honglak-Lee/1697141']","[{'Publications': '151', 'h-index': '35', 'Citations': '12,525', 'Highly Influential Citations': '1,521'}, {'Publications': '196', 'h-index': '28', 'Citations': '2,988', 'Highly Influential Citations': '197'}, {'Publications': '35', 'h-index': '12', 'Citations': '736', 'Highly Influential Citations': '111'}, {'Publications': '-1', 'h-index': '-1', 'Citations': '-1', 'Highly Influenced Papers': '-1'}, {'Publications': '166', 'h-index': '61', 'Citations': '24,193', 'Highly Influential Citations': '2,826'}]"
César Laurent;Nicolas Ballas;Pascal Vincent,"['https://www.semanticscholar.org/author/C%C3%A9sar-Laurent/40201308', 'https://www.semanticscholar.org/author/Nicolas-Ballas/2482072', 'https://www.semanticscholar.org/author/Pascal-Vincent/145467703']","[{'Publications': '10', 'h-index': '6', 'Citations': '2,258', 'Highly Influential Citations': '180'}, {'Publications': '54', 'h-index': '20', 'Citations': '5,005', 'Highly Influential Citations': '589'}, {'Publications': '118', 'h-index': '33', 'Citations': '15,655', 'Highly Influential Citations': '1,337'}]"
Shakir Mohamed;Balaji Lakshminarayanan,"['https://www.semanticscholar.org/author/Shakir-Mohamed/14594344', 'https://www.semanticscholar.org/author/Balaji-Lakshminarayanan/40627523']","[{'Publications': '51', 'h-index': '27', 'Citations': '6,973', 'Highly Influential Citations': '1,010'}, {'Publications': '43', 'h-index': '22', 'Citations': '2,939', 'Highly Influential Citations': '382'}]"
Jakob Foerster;Justin Gilmer;Jan Chorowski;Jascha Sohl-dickstein;David Sussillo,"['https://www.semanticscholar.org/author/Jakob-N.-Foerster/145356667', 'https://www.semanticscholar.org/author/Justin-Gilmer/2058362', 'https://www.semanticscholar.org/author/Jan-Chorowski/2292403', 'https://www.semanticscholar.org/author/Jascha-Sohl-Dickstein/1407546430', 'https://www.semanticscholar.org/author/David-Sussillo/3089810']","[{'Publications': '58', 'h-index': '19', 'Citations': '2,072', 'Highly Influential Citations': '335'}, {'Publications': '45', 'h-index': '18', 'Citations': '3,404', 'Highly Influential Citations': '464'}, {'Publications': '42', 'h-index': '18', 'Citations': '5,692', 'Highly Influential Citations': '463'}, {'Publications': '101', 'h-index': '33', 'Citations': '5,020', 'Highly Influential Citations': '703'}, {'Publications': '45', 'h-index': '25', 'Citations': '3,281', 'Highly Influential Citations': '267'}]"
Alexander L. Gaunt;Marc Brockschmidt;Nate Kushman;Daniel Tarlow,"['https://www.semanticscholar.org/author/Alexander-L.-Gaunt/35058304', 'https://www.semanticscholar.org/author/Marc-Brockschmidt/2107692', 'https://www.semanticscholar.org/author/Nate-Kushman/1684887', 'https://www.semanticscholar.org/author/Daniel-Tarlow/1725299']","[{'Publications': '38', 'h-index': '15', 'Citations': '1,194', 'Highly Influential Citations': '88'}, {'Publications': '61', 'h-index': '22', 'Citations': '2,508', 'Highly Influential Citations': '329'}, {'Publications': '29', 'h-index': '17', 'Citations': '1,511', 'Highly Influential Citations': '202'}, {'Publications': '68', 'h-index': '23', 'Citations': '2,537', 'Highly Influential Citations': '306'}]"
Farkhondeh Kiaee;Christian Gagné;and Mahdieh Abbasi,"['https://www.semanticscholar.org/author/Farkhondeh-Kiaee/35117118', 'https://www.semanticscholar.org/author/Christian-Gagn%C3%A9/1712120', 'https://www.semanticscholar.org/author/Mahdieh-Abbasi/9204759']","[{'Publications': '7', 'h-index': '3', 'Citations': '37', 'Highly Influential Citations': '3'}, {'Publications': '102', 'h-index': '19', 'Citations': '1,937', 'Highly Influential Citations': '152'}, {'Publications': '10', 'h-index': '4', 'Citations': '72', 'Highly Influential Citations': '5'}]"
